ENSG00000238009	RP11-34P13.7
ENSG00000196371	FUT4
ENSG00000166025	AMOTL1
ENSG00000150316	CWC15
ENSG00000186280	KDM4D
ENSG00000263465	SRSF8
ENSG00000149218	ENDOD1
ENSG00000245552	RP11-712B9.2
ENSG00000149212	SESN3
ENSG00000077458	FAM76B
ENSG00000166037	CEP57
ENSG00000087053	MTMR2
ENSG00000184384	MAML2
ENSG00000149231	CCDC82
ENSG00000183340	JRKL
ENSG00000165895	ARHGAP42
ENSG00000170647	TMEM133
ENSG00000082175	PGR
ENSG00000137672	TRPC6
ENSG00000110318	CEP126
ENSG00000137691	C11orf70
ENSG00000277459	RP11-732A21.3
ENSG00000137693	YAP1
ENSG00000023445	BIRC3
ENSG00000110330	BIRC2
ENSG00000152558	TMEM123
ENSG00000255337	RP11-315O6.1
ENSG00000137673	MMP7
ENSG00000281655	RP11-817J15.3
ENSG00000166670	MMP10
ENSG00000196611	MMP1
ENSG00000149968	MMP3
ENSG00000262406	MMP12
ENSG00000137692	DCUN1D5
ENSG00000187240	DYNC2H1
ENSG00000170962	PDGFD
ENSG00000196954	CASP4
ENSG00000137757	CASP5
ENSG00000137752	CASP1
ENSG00000204397	CARD16
ENSG00000170903	MSANTD4
ENSG00000182359	KBTBD3
ENSG00000149313	AASDHPPT
ENSG00000152402	GUCY1A2
ENSG00000261098	RP11-819C21.1
ENSG00000152404	CWF19L2
ENSG00000137760	ALKBH8
ENSG00000110675	ELMOD1
ENSG00000110660	SLC35F2
ENSG00000179331	RAB39A
ENSG00000166266	CUL5
ENSG00000255467	RP11-144G7.2
ENSG00000075239	ACAT1
ENSG00000149308	NPAT
ENSG00000149311	ATM
ENSG00000166323	C11orf65
ENSG00000178202	KDELC2
ENSG00000110723	EXPH5
ENSG00000178105	DDX10
ENSG00000149289	ZC3H12C
ENSG00000137710	RDX
ENSG00000137714	FDX1
ENSG00000137727	ARHGAP20
ENSG00000271584	RP11-89C3.4
ENSG00000196167	COLCA1
ENSG00000214290	COLCA2
ENSG00000110777	POU2AF1
ENSG00000204381	LAYN
ENSG00000170145	SIK2
ENSG00000137713	PPP2R1B
ENSG00000254990	RP11-108O10.2
ENSG00000086848	ALG9
ENSG00000255561	FDXACB1
ENSG00000137720	C11orf1
ENSG00000109846	CRYAB
ENSG00000170276	HSPB2
ENSG00000149300	C11orf52
ENSG00000150764	DIXDC1
ENSG00000150768	DLAT
ENSG00000150773	PIH1D2
ENSG00000150776	C11orf57
ENSG00000150779	TIMM8B
ENSG00000204370	SDHD
ENSG00000150782	IL18
ENSG00000150783	TEX12
ENSG00000197580	BCO2
ENSG00000150787	PTS
ENSG00000268472	RP11-356J5.13
ENSG00000250303	RP11-356J5.12
ENSG00000149294	NCAM1
ENSG00000149292	TTC12
ENSG00000170209	ANKK1
ENSG00000086827	ZW10
ENSG00000048028	USP28
ENSG00000166736	HTR3A
ENSG00000109906	ZBTB16
ENSG00000166741	NNMT
ENSG00000256195	RP11-64D24.4
ENSG00000180425	C11orf71
ENSG00000076053	RBM7
ENSG00000076043	REXO2
ENSG00000137634	NXPE4
ENSG00000182985	CADM1
ENSG00000246100	LINC00900
ENSG00000137656	BUD13
ENSG00000109917	ZPR1
ENSG00000110243	APOA5
ENSG00000110245	APOC3
ENSG00000118137	APOA1
ENSG00000160584	SIK3
ENSG00000168092	PAFAH1B2
ENSG00000149577	SIDT2
ENSG00000149591	TAGLN
ENSG00000160613	PCSK7
ENSG00000167257	RNF214
ENSG00000186318	BACE1
ENSG00000278768	BACE1-AS
ENSG00000110274	CEP164
ENSG00000177103	DSCAML1
ENSG00000137731	FXYD2
ENSG00000255245	FXYD6-FXYD2
ENSG00000254528	RP11-728F11.4
ENSG00000137726	FXYD6
ENSG00000137747	TMPRSS13
ENSG00000110324	IL10RA
ENSG00000137648	TMPRSS4
ENSG00000177098	SCN4B
ENSG00000149575	SCN2B
ENSG00000160593	JAML
ENSG00000160588	MPZL3
ENSG00000149573	MPZL2
ENSG00000198851	CD3E
ENSG00000167286	CD3D
ENSG00000160654	CD3G
ENSG00000110344	UBE4A
ENSG00000254873	RP11-770J1.5
ENSG00000167283	ATP5L
ENSG00000255384	RP11-770J1.4
ENSG00000118058	KMT2A
ENSG00000255435	RP11-770J1.3
ENSG00000172425	TTC36
ENSG00000149582	TMEM25
ENSG00000118096	IFT46
ENSG00000095139	ARCN1
ENSG00000019144	PHLDB1
ENSG00000118094	TREH
ENSG00000110367	DDX6
ENSG00000278376	RP11-158I9.8
ENSG00000160683	CXCR5
ENSG00000186174	BCL9L
ENSG00000255121	RP11-110I1.12
ENSG00000186166	CCDC84
ENSG00000254428	RP11-110I1.11
ENSG00000118181	RPS25
ENSG00000196655	TRAPPC4
ENSG00000137700	SLC37A4
ENSG00000255114	RP11-110I1.6
ENSG00000149428	HYOU1
ENSG00000271751	RP11-110I1.14
ENSG00000272186	RP11-110I1.13
ENSG00000160695	VPS11
ENSG00000256269	HMBS
ENSG00000188486	H2AFX
ENSG00000172269	DPAGT1
ENSG00000172375	C2CD2L
ENSG00000172273	HINFP
ENSG00000160703	NLRX1
ENSG00000172367	PDZD3
ENSG00000248712	CCDC153
ENSG00000110395	CBL
ENSG00000076706	MCAM
ENSG00000173456	RNF26
ENSG00000036672	USP2
ENSG00000245248	USP2-AS1
ENSG00000154096	THY1
ENSG00000110400	PVRL1
ENSG00000137699	TRIM29
ENSG00000176984	AP000679.2
ENSG00000184232	OAF
ENSG00000137709	POU2F3
ENSG00000181264	TMEM136
ENSG00000196914	ARHGEF12
ENSG00000250493	RP11-640N11.2
ENSG00000154114	TBCEL
ENSG00000109927	TECTA
ENSG00000109929	SC5D
ENSG00000246790	RP11-730K11.1
ENSG00000137642	SORL1
ENSG00000255090	MIR100HG
ENSG00000154127	UBASH3B
ENSG00000109943	CRTAM
ENSG00000109944	C11orf63
ENSG00000109971	HSPA8
ENSG00000166250	CLMP
ENSG00000023171	GRAMD1B
ENSG00000166257	SCN3B
ENSG00000166261	ZNF202
ENSG00000110002	VWA5A
ENSG00000154144	TBRG1
ENSG00000110013	SIAE
ENSG00000064199	SPA17
ENSG00000154146	NRGN
ENSG00000255045	RP11-677M14.2
ENSG00000019102	VSIG2
ENSG00000149564	ESAM
ENSG00000250073	RP11-677M14.3
ENSG00000120458	MSANTD2
ENSG00000279342	AP000866.1
ENSG00000245498	RP11-677M14.7
ENSG00000154134	ROBO3
ENSG00000254568	RP11-664I21.5
ENSG00000154133	ROBO4
ENSG00000165478	HEPACAM
ENSG00000221932	HEPN1
ENSG00000149548	CCDC15
ENSG00000134955	SLC37A2
ENSG00000150433	TMEM218
ENSG00000165495	PKNOX2
ENSG00000149557	FEZ1
ENSG00000255537	AP000708.1
ENSG00000149547	EI24
ENSG00000134910	STT3A
ENSG00000149554	CHEK1
ENSG00000134940	ACRV1
ENSG00000196844	PATE2
ENSG00000198331	HYLS1
ENSG00000110060	PUS3
ENSG00000109832	DDX25
ENSG00000254790	RP11-680F20.4
ENSG00000064309	CDON
ENSG00000165526	RPUSD4
ENSG00000197798	FAM118B
ENSG00000182934	SRPRA
ENSG00000110074	FOXRED1
ENSG00000150455	TIRAP
ENSG00000255062	RP11-712L6.5
ENSG00000110063	DCPS
ENSG00000280832	ST3GAL4-AS1
ENSG00000110080	ST3GAL4
ENSG00000149571	KIRREL3
ENSG00000254607	RP11-115C10.1
ENSG00000134954	ETS1
ENSG00000151702	FLI1
ENSG00000254703	SENCR
ENSG00000120457	KCNJ5
ENSG00000174370	C11orf45
ENSG00000120471	TP53AIP1
ENSG00000134909	ARHGAP32
ENSG00000043039	BARX2
ENSG00000151715	TMEM45B
ENSG00000170322	NFRKB
ENSG00000170325	PRDM10
ENSG00000233220	LINC00167
ENSG00000084234	APLP2
ENSG00000149418	ST14
ENSG00000196323	ZBTB44
ENSG00000175773	RP11-121M22.1
ENSG00000134917	ADAMTS8
ENSG00000166106	ADAMTS15
ENSG00000254842	RP11-890B15.2
ENSG00000255455	RP11-890B15.3
ENSG00000120451	SNX19
ENSG00000182667	NTM
ENSG00000238117	AP004372.1
ENSG00000183715	OPCML
ENSG00000080854	IGSF9B
ENSG00000204241	RP11-713P17.3
ENSG00000166086	JAM3
ENSG00000151503	NCAPD3
ENSG00000151502	VPS26B
ENSG00000151500	THYN1
ENSG00000151498	ACAD8
ENSG00000166105	GLB1L3
ENSG00000149328	GLB1L2
ENSG00000109956	B3GAT1
ENSG00000261456	TUBB8
ENSG00000015171	ZMYND11
ENSG00000151240	DIP2C
ENSG00000180525	PRR26
ENSG00000107929	LARP4B
ENSG00000107937	GTPBP4
ENSG00000232656	IDI2-AS1
ENSG00000067064	IDI1
ENSG00000047056	WDR37
ENSG00000067057	PFKP
ENSG00000107959	PITRM1
ENSG00000237399	PITRM1-AS1
ENSG00000067082	KLF6
ENSG00000233117	LINC00702
ENSG00000231298	LINC00704
ENSG00000165568	AKR1E2
ENSG00000151632	AKR1C2
ENSG00000187134	AKR1C1
ENSG00000196139	AKR1C3
ENSG00000198610	AKR1C4
ENSG00000178473	UCN3
ENSG00000173848	NET1
ENSG00000242147	RP13-463N16.6
ENSG00000196372	ASB13
ENSG00000108021	FAM208B
ENSG00000057608	GDI2
ENSG00000272764	RP11-318E3.9
ENSG00000134461	ANKRD16
ENSG00000134452	FBXO18
ENSG00000232807	RP11-536K7.3
ENSG00000134470	IL15RA
ENSG00000134460	IL2RA
ENSG00000229664	RP11-536K7.5
ENSG00000134453	RBM17
ENSG00000170525	PFKFB3
ENSG00000213994	RP11-414H17.5
ENSG00000215244	RP11-563J2.2
ENSG00000212743	RP11-563J2.3
ENSG00000065675	PRKCQ
ENSG00000223784	RP11-554I8.2
ENSG00000238266	LINC00707
ENSG00000198879	SFMBT2
ENSG00000123243	ITIH5
ENSG00000151655	ITIH2
ENSG00000151657	KIN
ENSG00000165629	ATP5C1
ENSG00000165632	TAF3
ENSG00000197308	GATA3-AS1
ENSG00000107485	GATA3
ENSG00000226990	RP11-543F8.2
ENSG00000225383	SFTA1P
ENSG00000048740	CELF2
ENSG00000148429	USP6NL
ENSG00000134463	ECHDC3
ENSG00000148426	PROSER2
ENSG00000225778	PROSER2-AS1
ENSG00000151461	UPF2
ENSG00000181192	DHTKD1
ENSG00000065665	SEC61A2
ENSG00000165609	NUDT5
ENSG00000151465	CDC123
ENSG00000228302	RP11-186N15.3
ENSG00000183049	CAMK1D
ENSG00000151468	CCDC3
ENSG00000123240	OPTN
ENSG00000065328	MCM10
ENSG00000107537	PHYH
ENSG00000086475	SEPHS1
ENSG00000165626	BEND7
ENSG00000165630	PRPF18
ENSG00000282246	RP11-295P9.13
ENSG00000151474	FRMD4A
ENSG00000065809	FAM107B
ENSG00000185267	CDNF
ENSG00000187522	HSPA14
ENSG00000272853	RP11-398C13.6
ENSG00000152455	SUV39H2
ENSG00000152457	DCLRE1C
ENSG00000197889	MEIG1
ENSG00000152463	OLAH
ENSG00000176244	ACBD7
ENSG00000176236	C10orf111
ENSG00000152464	RPP38
ENSG00000152465	NMT2
ENSG00000148468	FAM171A1
ENSG00000077943	ITGA8
ENSG00000148481	FAM188A
ENSG00000165983	PTER
ENSG00000148484	RSU1
ENSG00000107611	CUBN
ENSG00000107614	TRDMT1
ENSG00000229124	VIM-AS1
ENSG00000026025	VIM
ENSG00000234961	RP11-124N14.3
ENSG00000148488	ST8SIA6
ENSG00000204832	ST8SIA6-AS1
ENSG00000165996	HACD1
ENSG00000260589	STAM-AS1
ENSG00000136738	STAM
ENSG00000148483	TMEM236
ENSG00000260314	MRC1
ENSG00000165995	CACNB2
ENSG00000240291	RP11-499P20.2
ENSG00000241058	NSUN6
ENSG00000165997	ARL5B
ENSG00000120594	PLXDC2
ENSG00000078114	NEBL
ENSG00000231920	NEBL-AS1
ENSG00000204682	CASC10
ENSG00000180592	SKIDA1
ENSG00000078403	MLLT10
ENSG00000136770	DNAJC1
ENSG00000148444	COMMD3
ENSG00000168283	BMI1
ENSG00000150867	PIP4K2A
ENSG00000148450	MSRB2
ENSG00000165312	OTUD1
ENSG00000120549	KIAA1217
ENSG00000107863	ARHGAP21
ENSG00000099256	PRTFDC1
ENSG00000273107	RP11-165A20.3
ENSG00000151023	ENKUR
ENSG00000185875	THNSL1
ENSG00000151025	GPR158
ENSG00000095777	MYO3A
ENSG00000077420	APBB1IP
ENSG00000233261	LINC00264
ENSG00000148459	PDSS1
ENSG00000136754	ABI1
ENSG00000107890	ANKRD26
ENSG00000136758	YME1L1
ENSG00000120539	MASTL
ENSG00000107897	ACBD5
ENSG00000262412	RP11-85G18.6
ENSG00000099246	RAB18
ENSG00000169126	ARMC4
ENSG00000150054	MPP7
ENSG00000254635	WAC-AS1
ENSG00000095787	WAC
ENSG00000095739	BAMBI
ENSG00000224597	SVIL-AS1
ENSG00000197321	SVIL
ENSG00000165757	KIAA1462
ENSG00000107951	MTPAP
ENSG00000107968	MAP3K8
ENSG00000183621	ZNF438
ENSG00000272381	RP11-192P3.4
ENSG00000237036	ZEB1-AS1
ENSG00000148516	ZEB1
ENSG00000237797	RP11-472N13.3
ENSG00000165322	ARHGAP12
ENSG00000170759	KIF5B
ENSG00000120616	EPC1
ENSG00000216937	CCDC7
ENSG00000150076	CCDC7
ENSG00000273038	RP11-479G22.8
ENSG00000150093	ITGB1
ENSG00000229656	RP11-462L8.1
ENSG00000099250	NRP1
ENSG00000238258	RP11-342D11.2
ENSG00000148498	PARD3
ENSG00000226386	PARD3-AS1
ENSG00000108094	CUL2
ENSG00000095794	CREM
ENSG00000108100	CCNY
ENSG00000271335	RP11-324I22.4
ENSG00000177291	GJD4
ENSG00000273312	RP11-425A6.5
ENSG00000177283	FZD8
ENSG00000280719	PCAT5
ENSG00000227313	RP11-309N24.1
ENSG00000256892	MTRNR2L7
ENSG00000226578	RP11-258F22.1
ENSG00000198105	ZNF248
ENSG00000236514	RP11-162G10.5
ENSG00000175395	ZNF25
ENSG00000189180	ZNF33A
ENSG00000075407	ZNF37A
ENSG00000272983	RP11-508N22.12
ENSG00000185904	LINC00839
ENSG00000196693	ZNF33B
ENSG00000165733	BMS1
ENSG00000273008	RP11-351D16.3
ENSG00000169826	CSGALNACT2
ENSG00000198915	RASGEF1A
ENSG00000169813	HNRNPF
ENSG00000230555	RP11-517P14.2
ENSG00000243660	ZNF487
ENSG00000196793	ZNF239
ENSG00000198298	ZNF485
ENSG00000169740	ZNF32
ENSG00000204187	LINC00619
ENSG00000226808	LINC00840
ENSG00000229116	RP11-20J15.3
ENSG00000277288	C10orf142
ENSG00000107562	CXCL12
ENSG00000187783	TMEM72
ENSG00000107551	RASSF4
ENSG00000165507	C10orf10
ENSG00000165511	C10orf25
ENSG00000165512	ZNF22
ENSG00000012779	ALOX5
ENSG00000165406	MARCH8
ENSG00000172671	ZFAND4
ENSG00000172661	FAM21C
ENSG00000188234	AGAP4
ENSG00000265354	TIMM23
ENSG00000266412	NCOA4
ENSG00000263639	MSMB
ENSG00000264230	ANXA8L1
ENSG00000204175	GPRIN2
ENSG00000204176	SYT15
ENSG00000231187	RP11-38L15.3
ENSG00000229227	RP11-38L15.2
ENSG00000204179	PTPN20
ENSG00000265190	ANXA8
ENSG00000204172	AGAP9
ENSG00000264404	LINC00864
ENSG00000276850	CH17-360D5.2
ENSG00000273760	CH17-360D5.3
ENSG00000170324	FRMPD2
ENSG00000107643	MAPK8
ENSG00000128805	ARHGAP22
ENSG00000128815	WDFY4
ENSG00000165633	VSTM4
ENSG00000204161	C10orf128
ENSG00000225830	ERCC6
ENSG00000243251	PGBD3
ENSG00000197444	OGDHL
ENSG00000227345	PARG
ENSG00000204152	TIMM23B
ENSG00000204149	AGAP6
ENSG00000099290	FAM21A
ENSG00000188611	ASAH2
ENSG00000198964	SGMS1
ENSG00000226200	SGMS1-AS1
ENSG00000204147	ASAH2B
ENSG00000148584	A1CF
ENSG00000185532	PRKG1
ENSG00000223502	RP11-96B5.3
ENSG00000177613	CSTF2T
ENSG00000107984	DKK1
ENSG00000228651	RP11-556E13.1
ENSG00000165471	MBL2
ENSG00000227121	RP11-319F12.2
ENSG00000234173	RP11-257I14.1
ENSG00000249860	MTRNR2L5
ENSG00000122952	ZWINT
ENSG00000151151	IPMK
ENSG00000122873	CISD1
ENSG00000072401	UBE2D1
ENSG00000108064	TFAM
ENSG00000122870	BICC1
ENSG00000237949	LINC00844
ENSG00000165443	PHYHIPL
ENSG00000148541	FAM13C
ENSG00000165449	SLC16A9
ENSG00000108091	CCDC6
ENSG00000235931	LINC01553
ENSG00000151150	ANK3
ENSG00000170312	CDK1
ENSG00000072422	RHOBTB1
ENSG00000196932	TMEM26
ENSG00000183346	C10orf107
ENSG00000272592	RP11-63A2.2
ENSG00000150347	ARID5B
ENSG00000182010	RTKN2
ENSG00000138311	ZNF365
ENSG00000181915	ADO
ENSG00000122877	EGR2
ENSG00000148572	NRBF2
ENSG00000171988	JMJD1C
ENSG00000272767	JMJD1C-AS1
ENSG00000165476	REEP3
ENSG00000224714	RP11-179K3.2
ENSG00000228065	LINC01515
ENSG00000183230	CTNNA3
ENSG00000108176	DNAJC12
ENSG00000272892	RP11-57G10.8
ENSG00000096717	SIRT1
ENSG00000148634	HERC4
ENSG00000138347	MYPN
ENSG00000233590	RP11-153K11.3
ENSG00000108187	PBLD
ENSG00000096746	HNRNPH3
ENSG00000204130	RUFY2
ENSG00000138346	DNA2
ENSG00000122912	SLC25A16
ENSG00000138336	TET1
ENSG00000060339	CCAR1
ENSG00000165730	STOX1
ENSG00000107625	DDX50
ENSG00000165732	DDX21
ENSG00000198954	KIF1BP
ENSG00000122862	SRGN
ENSG00000122958	VPS26A
ENSG00000156502	SUPV3L1
ENSG00000229261	RP11-227H15.4
ENSG00000156510	HKDC1
ENSG00000156515	HK1
ENSG00000075073	TACR2
ENSG00000099282	TSPAN15
ENSG00000171224	C10orf35
ENSG00000197467	COL13A1
ENSG00000099284	H2AFY2
ENSG00000042286	AIFM2
ENSG00000156521	TYSND1
ENSG00000079332	SAR1A
ENSG00000180817	PPA1
ENSG00000148734	NPFFR1
ENSG00000172731	LRRC20
ENSG00000148730	EIF4EBP2
ENSG00000156574	NODAL
ENSG00000107719	PALD1
ENSG00000180644	PRF1
ENSG00000138316	ADAMTS14
ENSG00000166224	SGPL1
ENSG00000166228	PCBD1
ENSG00000107731	UNC5B
ENSG00000237512	UNC5B-AS1
ENSG00000198246	SLC29A3
ENSG00000107736	CDH23
ENSG00000107738	C10orf54
ENSG00000197746	PSAP
ENSG00000122863	CHST3
ENSG00000107742	SPOCK2
ENSG00000138303	ASCC1
ENSG00000166295	ANAPC16
ENSG00000168209	DDIT4
ENSG00000269926	RP11-442H21.2
ENSG00000148719	DNAJB12
ENSG00000107745	MICU1
ENSG00000156026	MCU
ENSG00000138315	OIT3
ENSG00000138308	PLA2G12B
ENSG00000122884	P4HA1
ENSG00000272630	RP11-344N10.5
ENSG00000166321	NUDT13
ENSG00000272599	RP11-152N13.16
ENSG00000122882	ECD
ENSG00000138286	FAM149B1
ENSG00000213551	DNAJC9
ENSG00000236756	DNAJC9-AS1
ENSG00000182180	MRPS16
ENSG00000227540	RP11-152N13.5
ENSG00000156042	CFAP70
ENSG00000138279	ANXA7
ENSG00000166343	MSS51
ENSG00000107758	PPP3CB
ENSG00000166348	USP54
ENSG00000268584	RP11-464F9.20
ENSG00000177791	MYOZ1
ENSG00000166317	SYNPO2L
ENSG00000172650	AGAP5
ENSG00000272140	RP11-574K11.29
ENSG00000176986	SEC24C
ENSG00000196968	FUT11
ENSG00000172586	CHCHD1
ENSG00000214655	ZSWIM8
ENSG00000166507	NDST2
ENSG00000148660	CAMK2G
ENSG00000122861	PLAU
ENSG00000222047	C10orf55
ENSG00000035403	VCL
ENSG00000185009	AP3M1
ENSG00000156110	ADK
ENSG00000232342	RP11-46O21.2
ENSG00000156650	KAT6B
ENSG00000156671	SAMD8
ENSG00000165637	VDAC2
ENSG00000165644	COMTD1
ENSG00000226051	ZNF503-AS1
ENSG00000165655	ZNF503
ENSG00000237149	ZNF503-AS2
ENSG00000273248	RP11-399K21.13
ENSG00000148655	C10orf11
ENSG00000156113	KCNMA1
ENSG00000151208	DLG5
ENSG00000148606	POLR3A
ENSG00000138326	RPS24
ENSG00000230417	LINC00856
ENSG00000224596	ZMIZ1-AS1
ENSG00000108175	ZMIZ1
ENSG00000108179	PPIF
ENSG00000165424	ZCCHC24
ENSG00000253626	EIF5AL1
ENSG00000226676	RP11-589B3.6
ENSG00000244733	RP11-506M13.3
ENSG00000225484	NUTM2B-AS1
ENSG00000272447	RP11-182L21.6
ENSG00000133661	SFTPD
ENSG00000273372	SFTPD-AS1
ENSG00000230091	TMEM254-AS1
ENSG00000133678	TMEM254
ENSG00000189129	PLAC9
ENSG00000122359	ANXA11
ENSG00000237523	LINC00857
ENSG00000151224	MAT1A
ENSG00000133665	DYDC2
ENSG00000122378	FAM213A
ENSG00000108219	TSPAN14
ENSG00000226659	RP11-137H2.4
ENSG00000185737	NRG3
ENSG00000271933	RP11-338I21.1
ENSG00000165678	GHITM
ENSG00000107771	CCSER2
ENSG00000182771	GRID1
ENSG00000062650	WAPL
ENSG00000227896	RP11-77P6.2
ENSG00000122367	LDB3
ENSG00000272631	RP11-359E3.4
ENSG00000107779	BMPR1A
ENSG00000173269	MMRN2
ENSG00000173267	SNCG
ENSG00000148671	ADIRF
ENSG00000273413	RP11-96C23.15
ENSG00000148672	GLUD1
ENSG00000122376	FAM35A
ENSG00000223482	NUTM2A-AS1
ENSG00000224914	LINC00863
ENSG00000107789	MINPP1
ENSG00000198682	PAPSS2
ENSG00000138138	ATAD1
ENSG00000227268	KLLN
ENSG00000171862	PTEN
ENSG00000184719	RNLS
ENSG00000204020	LIPN
ENSG00000152766	ANKRD22
ENSG00000138134	STAMBPL1
ENSG00000180139	ACTA2-AS1
ENSG00000107796	ACTA2
ENSG00000026103	FAS
ENSG00000138135	CH25H
ENSG00000107798	LIPA
ENSG00000232110	RP11-149I23.3
ENSG00000119922	IFIT2
ENSG00000119917	IFIT3
ENSG00000185745	IFIT1
ENSG00000152778	IFIT5
ENSG00000152779	SLC16A12
ENSG00000234452	SLC16A12-AS1
ENSG00000152782	PANK1
ENSG00000138182	KIF20B
ENSG00000232229	LINC00865
ENSG00000148680	HTR7
ENSG00000148688	RPP30
ENSG00000148677	ANKRD1
ENSG00000180628	PCGF5
ENSG00000165338	HECTD2
ENSG00000119938	PPP1R3C
ENSG00000228701	TNKS2-AS1
ENSG00000107854	TNKS2
ENSG00000174721	FGFBP3
ENSG00000095564	BTAF1
ENSG00000107864	CPEB3
ENSG00000198060	MARCH5
ENSG00000119912	IDE
ENSG00000138160	KIF11
ENSG00000152804	HHEX
ENSG00000138190	EXOC6
ENSG00000138119	MYOF
ENSG00000138180	CEP55
ENSG00000186188	FFAR4
ENSG00000138207	RBP4
ENSG00000148690	FRA10AC1
ENSG00000108231	LGI1
ENSG00000176273	SLC35G1
ENSG00000138193	PLCE1
ENSG00000228553	RP11-391J2.3
ENSG00000273450	RP11-76P2.4
ENSG00000173145	NOC3L
ENSG00000108239	TBC1D12
ENSG00000119969	HELLS
ENSG00000108242	CYP2C18
ENSG00000165841	CYP2C19
ENSG00000138109	CYP2C9
ENSG00000138115	CYP2C8
ENSG00000173124	ACSM6
ENSG00000107438	PDLIM1
ENSG00000095637	SORBS1
ENSG00000059573	ALDH18A1
ENSG00000119977	TCTN3
ENSG00000138185	ENTPD1
ENSG00000226688	ENTPD1-AS1
ENSG00000173088	C10orf131
ENSG00000269920	RP11-690P14.4
ENSG00000107443	CCNJ
ENSG00000177853	ZNF518A
ENSG00000095585	BLNK
ENSG00000095587	TLL2
ENSG00000077147	TM9SF3
ENSG00000155629	PIK3AP1
ENSG00000196233	LCOR
ENSG00000155640	C10orf12
ENSG00000231025	RP11-175O19.4
ENSG00000187122	SLIT1
ENSG00000213390	ARHGAP19
ENSG00000165879	FRAT1
ENSG00000181274	FRAT2
ENSG00000225850	RP11-452K12.4
ENSG00000052749	RRP12
ENSG00000171314	PGAM1
ENSG00000171311	EXOSC1
ENSG00000171307	ZDHHC16
ENSG00000155229	MMS19
ENSG00000165886	UBTD1
ENSG00000165887	ANKRD2
ENSG00000241935	HOGA1
ENSG00000171160	MORN4
ENSG00000155252	PI4K2A
ENSG00000119986	AVPI1
ENSG00000155254	MARVELD1
ENSG00000155256	ZFYVE27
ENSG00000120057	SFRP5
ENSG00000155265	GOLGA7B
ENSG00000095713	CRTAC1
ENSG00000166024	R3HCC1L
ENSG00000138131	LOXL4
ENSG00000119943	PYROXD2
ENSG00000107521	HPS1
ENSG00000119946	CNNM1
ENSG00000120053	GOT1
ENSG00000224934	RP11-441O15.3
ENSG00000155287	SLC25A28
ENSG00000260475	RP11-85A1.3
ENSG00000229278	RP11-483F11.7
ENSG00000198018	ENTPD7
ENSG00000119929	CUTC
ENSG00000014919	COX15
ENSG00000023839	ABCC2
ENSG00000107554	DNMBP
ENSG00000227695	DNMBP-AS1
ENSG00000120054	CPN1
ENSG00000107566	ERLIN1
ENSG00000213341	CHUK
ENSG00000095485	CWF19L1
ENSG00000196072	BLOC1S2
ENSG00000107593	PKD2L1
ENSG00000099194	SCD
ENSG00000235823	OLMALINC
ENSG00000075826	SEC31B
ENSG00000166136	NDUFB8
ENSG00000166135	HIF1AN
ENSG00000272572	RP11-179B2.2
ENSG00000119906	SLF2
ENSG00000055950	MRPL43
ENSG00000095539	SEMA4G
ENSG00000107815	C10orf2
ENSG00000107816	LZTS2
ENSG00000186862	PDZD7
ENSG00000107819	SFXN3
ENSG00000273162	RP11-108L7.15
ENSG00000107821	KAZALD1
ENSG00000107807	TLX1
ENSG00000229649	RP11-107I14.4
ENSG00000166167	BTRC
ENSG00000166171	DPCD
ENSG00000166169	POLL
ENSG00000107829	FBXW4
ENSG00000107833	NPM3
ENSG00000198408	MGEA5
ENSG00000120049	KCNIP2
ENSG00000120029	C10orf76
ENSG00000166189	HPS6
ENSG00000198728	LDB1
ENSG00000148840	PPRC1
ENSG00000166197	NOLC1
ENSG00000119915	ELOVL3
ENSG00000107862	GBF1
ENSG00000077150	NFKB2
ENSG00000059915	PSD
ENSG00000107872	FBXL15
ENSG00000107874	CUEDC2
ENSG00000120055	C10orf95
ENSG00000138111	MFSD13A
ENSG00000138107	ACTR1A
ENSG00000107882	SUFU
ENSG00000272933	RP11-47A8.5
ENSG00000171206	TRIM8
ENSG00000138175	ARL3
ENSG00000156398	SFXN2
ENSG00000166272	WBP1L
ENSG00000148795	CYP17A1
ENSG00000203886	CYP17A1-AS1
ENSG00000166275	BORCS7
ENSG00000148842	CNNM2
ENSG00000076685	NT5C2
ENSG00000156374	PCGF6
ENSG00000148835	TAF5
ENSG00000173915	USMG5
ENSG00000148843	PDCD11
ENSG00000138172	CALHM2
ENSG00000234699	RP11-225H22.4
ENSG00000107954	NEURL1
ENSG00000107957	SH3PXD2A
ENSG00000273108	RP11-416N2.4
ENSG00000280693	SH3PXD2A-AS1
ENSG00000107960	OBFC1
ENSG00000065613	SLK
ENSG00000065618	COL17A1
ENSG00000156384	SFR1
ENSG00000197748	CFAP43
ENSG00000148834	GSTO1
ENSG00000065621	GSTO2
ENSG00000148841	ITPRIP
ENSG00000231233	CFAP58-AS1
ENSG00000229981	LINC01435
ENSG00000108039	XPNPEP1
ENSG00000148700	ADD3
ENSG00000119950	MXI1
ENSG00000119953	SMNDC1
ENSG00000273143	RP11-525A16.4
ENSG00000138166	DUSP5
ENSG00000108055	SMC3
ENSG00000203867	RBM20
ENSG00000203497	PDCD4-AS1
ENSG00000150593	PDCD4
ENSG00000214413	BBIP1
ENSG00000278601	RP11-348N5.9
ENSG00000270589	RP11-348N5.7
