GO ID	GO Term	Interactions	P-value	FDR corrected p-value	FDR pval 1 vs. 4+5
GO:0006650	glycerophospholipid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2256948719	0.2751478275	0.4655538136
GO:0032990	cell part morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2289449758	0.2784609822	0.3902011062
GO:0034762	regulation of transmembrane transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2321258676	0.2816747767	0.1379295223
GO:0002521	leukocyte differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2391519609	0.2874889701	0.2324199345
GO:0006119	oxidative phosphorylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.23886698	0.2874889701	
GO:0030042	actin filament depolymerization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2395216053	0.2874889701	0.2277980306
GO:0035239	tube morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2396657571	0.2874889701	0.5887361398
GO:0080135	regulation of cellular response to stress	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2385572346	0.2874889701	0.3478818115
GO:0048024	regulation of mRNA splicing, via spliceosome	organ + species + age + organ:age + species:age	0.2406516811	0.2880110509	0.5060419855
GO:0009146	purine nucleoside triphosphate catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2469878678	0.2949193033	0.1201239715
GO:1901698	response to nitrogen compound	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2489657999	0.2966039028	0.5708151028
GO:0031032	actomyosin structure organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2528537336	0.3005511424	0.4406481202
GO:0031400	negative regulation of protein modification process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2535393734	0.300682749	0.9295115315
GO:0007043	cell-cell junction assembly	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2545704325	0.3012224801	0.722866409
GO:0016477	cell migration	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2554650571	0.3015987017	0.2112457977
GO:0031099	regeneration	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.257182609	0.3025083427	0.9843345876
GO:0031124	mRNA 3'-end processing	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2573923757	0.3025083427	0.3413596736
GO:0018209	peptidyl-serine modification	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2597577964	0.3046038734	0.9266745423
GO:0055002	striated muscle cell development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2643789527	0.3093292892	0.7296817407
GO:0044283	small molecule biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2664681386	0.31107776	
GO:0072524	pyridine-containing compound metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2688036923	0.3131054144	0.9060544012
GO:0014706	striated muscle tissue development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2756823075	0.3204041041	0.1883000511
GO:0006304	DNA modification	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2786970679	0.3231897262	0.4248282011
GO:0055001	muscle cell development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2798536228	0.3238129308	0.5929445878
GO:0031329	regulation of cellular catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.280728725	0.3241084397	0.2294377909
GO:0046688	response to copper ion	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2867928158	0.3303802702	0.4625910144
GO:0001676	long-chain fatty acid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2918833189	0.3355054413	
GO:0030011	maintenance of cell polarity	organ + species + age + organ:age + species:age	0.2971483678	0.3408083253	0.2877370907
GO:0033059	cellular pigmentation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3019307408	0.345535618	0.4569751975
GO:0033121	regulation of purine nucleotide catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3319682268	0.3790816214	0.3910037885
GO:0018105	peptidyl-serine phosphorylation	species + age + species:age	0.335271948	0.3820201063	0.8436400027
GO:0048870	cell motility	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3393690411	0.3858478446	0.3921549366
GO:0006195	purine nucleotide catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3407171135	0.3865402394	0.3124206651
GO:0008380	RNA splicing	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.344570026	0.3898776893	
GO:0048747	muscle fiber development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3451498474	0.3898776893	0.8887010197
GO:0048469	cell maturation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3512524734	0.3959160422	0.4585147343
GO:0042773	ATP synthesis coupled electron transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3522727178	0.3962121106	
GO:0009118	regulation of nucleoside metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3556248239	0.3991239977	0.4125826134
GO:0017156	calcium ion regulated exocytosis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3601895357	0.4033814287	0.739354338
GO:0018108	peptidyl-tyrosine phosphorylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3634577489	0.4061718006	0.3834190756
GO:0051270	regulation of cellular component movement	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3700783816	0.4126886857	
GO:0030811	regulation of nucleotide catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3711188918	0.412968469	0.4342081966
GO:0016053	organic acid biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3730357872	0.4133426201	0.6333146506
GO:0046394	carboxylic acid biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3730357872	0.4133426201	0.6333146506
GO:0006874	cellular calcium ion homeostasis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3893885736	0.4305501565	0.5134452843
GO:0060537	muscle tissue development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.3984985921	0.4396935942	0.2409712496
GO:0021954	central nervous system neuron development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.4038493087	0.4446593441	
GO:0016125	sterol metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.4060573129	0.4452158798	
GO:0035051	cardiocyte differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.4059799748	0.4452158798	0.8320286941
GO:0072523	purine-containing compound catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.407690842	0.446071779	0.3296187033
GO:0043484	regulation of RNA splicing	organ + species + age + organ:age + species:age	0.4153826869	0.4535389253	
GO:0046777	protein autophosphorylation	organ + species + age + organ:age + species:age	0.4215021924	0.4592617638	0.8895736137
GO:0046856	phosphatidylinositol dephosphorylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.4360774485	0.4741548973	0.3539526238
GO:0040012	regulation of locomotion	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.4546541345	0.4933280339	0.5842185304
GO:0006694	steroid biosynthetic process	organ + species + age + organ:age + species:age	0.4634038286	0.5017809573	0.2814146637
GO:0006367	transcription initiation from RNA polymerase II promoter	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.4672241694	0.504872398	
GO:0010927	cellular component assembly involved in morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.483452122	0.521330845	
GO:0044092	negative regulation of molecular function	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.4962270151	0.534005615	0.5757558876
GO:0000271	polysaccharide biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5105680953	0.5471867087	0.534397278
GO:0006508	proteolysis	organ + species + age + organ:age + species:age	0.5097105275	0.5471867087	0.4553307267
GO:0051674	localization of cell	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5152933055	0.5511214699	0.5361736802
GO:0048667	cell morphogenesis involved in neuron differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5249785476	0.5603342457	0.9172502425
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.543047475	0.5780385622	0.5434902278
GO:0030900	forebrain development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5437762382	0.5780385622	0.6365277522
GO:0055074	calcium ion homeostasis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5503142702	0.5827176144	0.5026315355
GO:0060113	inner ear receptor cell differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5504063126	0.5827176144	0.9739647339
GO:0021575	hindbrain morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5525580447	0.5838138533	0.4237310011
GO:0042060	wound healing	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5629839164	0.5936302183	
GO:0001505	regulation of neurotransmitter levels	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5761122707	0.6062509408	0.5572020136
GO:0006413	translational initiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.5943159881	0.6241511281	0.5718038622
GO:0003170	heart valve development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.6002451742	0.6291146815	
GO:0007517	muscle organ development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.6451257875	0.6748015737	0.5786028409
GO:0051146	striated muscle cell differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.6499443344	0.6784848042	0.5535802815
GO:0006813	potassium ion transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.6596420362	0.6872366234	0.8775759991
GO:0019538	protein metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.6720346193	0.6987556777	0.7603490261
GO:0072331	signal transduction by p53 class mediator	species + age + species:age	0.6929231825	0.7190452866	0.5168980511
GO:0006378	mRNA polyadenylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.7163761386	0.7419103376	0.7108964682
GO:0050790	regulation of catalytic activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.7250602463	0.7494199779	0.7628489791
GO:0050877	neurological system process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.7328722717	0.7560003907	0.5707677648
GO:0007212	dopamine receptor signaling pathway	organ + species + age + organ:age + species:age	0.7372877048	0.759058011	0.5483297487
GO:0042558	pteridine-containing compound metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.7670457606	0.7881432864	
GO:0043631	RNA polyadenylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.7699353532	0.7895611563	0.8185137488
GO:0001503	ossification	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.7893935003	0.8063531263	0.4700162771
GO:0006814	sodium ion transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.788326814	0.8063531263	0.6761547412
GO:0071822	protein complex subunit organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.8047987952	0.8204868808	
GO:0008202	steroid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.8098079577	0.8239874745	
GO:0043623	cellular protein complex assembly	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.8484975131	0.8611587987	0.8153106243
GO:0048666	neuron development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.8496327727	0.8611587987	0.9914039251
GO:0034329	cell junction assembly	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.8645435881	0.874576976	
GO:0032844	regulation of homeostatic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.8687512807	0.8771369108	0.8357690142
GO:0006383	transcription from RNA polymerase III promoter	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.8766120976	0.8833682602	
GO:0006461	protein complex assembly	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.8887519819	0.8938793971	0.7583487401
GO:0006760	folic acid-containing compound metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.8988458274	0.9022962912	
GO:0043473	pigmentation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.9603866298	0.9622264509	0.9898453142
GO:0031175	neuron projection development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.9877351683	0.9877351683	0.8271354459
