gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
UCKL1	1157316	206	36	764666	222529	0	2	1	0	50	46	10091005	8.865119e-01	1
ARHGEF12	264872	312	25	2203481	573982	0	11	1	0	10	8	2466540	8.866781e-01	1
PGK1	549810	NaN	14	586141	163085	0	1	1	0	50	53	12708664	8.866786e-01	1
COQ5	1552470	216	46	463200	121590	0	1	2	0	12	7	1499224	8.866984e-01	1
TNK1	1911735	206	36	881238	296448	0	2	0	0	3	1	797862	8.867457e-01	1
HPD	829168	195	44	570701	146680	0	2	0	0	5	4	898994	8.868981e-01	1
ASAP2	661229	340	34	1431867	379824	0	4	4	0	14	21	4240403	8.869008e-01	1
ABCA5	52620	314	-50	2350161	591738	0	8	3	0	8	6	2215833	8.869143e-01	1
PLEKHM2	683349	174	22	1409865	405879	0	4	0	0	16	17	5678253	8.869859e-01	1
MINPP1	470910	190	25	695379	182385	0	3	0	0	5	2	631882	8.871029e-01	1
PIH1D2	389805	179	31	473429	121783	0	1	1	0	49	49	11066041	8.871468e-01	1
BTBD3	59672	322	-61	722785	192614	0	2	1	0	50	45	10228035	8.871499e-01	1
ACTC1	521214	306	-1	523223	147259	0	1	1	0	50	64	12664081	8.872024e-01	1
CDH24	1261207	185	41	1091222	358594	0	2	1	0	34	27	8712406	8.873370e-01	1
SRCRB4D	870785	220	59	776053	247619	0	2	1	0	50	47	10341326	8.873889e-01	1
TRAF5	298152	424	2	797283	194544	0	1	2	0	50	45	11838427	8.874282e-01	1
WNT6	1087669	386	42	480763	161927	0	1	1	0	50	48	10085987	8.874511e-01	1
RTF1	820644	237	37	1018075	257462	0	2	0	0	35	25	7283241	8.875517e-01	1
GEMIN5	519919	378	40	2111613	573210	0	6	3	0	50	37	10969155	8.875801e-01	1
RSBN1	318105	406	18	1095082	314783	0	3	0	0	22	23	6470904	8.876352e-01	1
CMYA5	263588	684	38	5535626	1562914	0	17	7	0	39	36	9323830	8.877012e-01	1
MAGEB6	34143	NaN	-38	545611	165401	0	3	2	0	2	5	596177	8.877281e-01	1
SKAP2	1041630	540	14	535575	117537	0	1	0	0	50	42	10769593	8.878411e-01	1
CPA5	422275	212	28	641339	145522	0	1	1	0	50	47	13164916	8.878564e-01	1
WDR49	145736	911	-20	997424	247426	0	2	0	0	8	7	2644486	8.879312e-01	1
IL6ST	317374	438	51	1297732	333311	0	4	0	0	22	28	6790319	8.879363e-01	1
CCNF	2161773	309	44	1092573	312660	0	3	1	0	50	44	11010264	8.880252e-01	1
CD248	2133752	236	53	984879	332925	0	2	3	0	50	57	13272417	8.881479e-01	1
GFAP	1101543	172	28	651954	193386	0	2	2	0	50	56	9376326	8.881812e-01	1
TP53I3	269570	385	38	451620	138381	0	1	1	0	50	58	10915308	8.882446e-01	1
CD2BP2	2312884	165	47	473622	134328	0	7	4	0	2	4	334662	8.882772e-01	1
CDH9	39282	1140	-26	1108206	289500	0	5	2	0	50	77	12318997	8.883520e-01	1
TTC38	519654	205	31	664113	183543	0	2	1	0	50	51	10429913	8.883886e-01	1
MAD2L2	682357	264	32	306098	80674	0	1	2	0	7	8	1088906	8.884047e-01	1
BANK1	80568	482	-7	1126734	275604	0	3	2	0	50	47	11911574	8.884071e-01	1
GNL1	2080582	271	32	839164	242408	0	2	0	0	24	29	6223478	8.885275e-01	1
TEX10	246976	476	12	1294258	360524	0	2	1	0	22	14	4990208	8.885908e-01	1
TAPT1	165112	581	29	803073	214809	0	1	0	0	50	38	11751577	8.886583e-01	1
FGL1	399891	253	-16	456445	103448	0	2	2	0	24	31	4834457	8.887181e-01	1
PSMD11	657957	438	15	604283	160576	0	1	0	0	50	48	10413315	8.887971e-01	1
CALCOCO1	1501666	272	56	965193	269235	0	3	2	0	25	31	6388879	8.887987e-01	1
TRRAP	1040178	470	42	5331432	1485135	0	26	4	0	0	4	1485135	8.888398e-01	1
NRP2	278279	567	5	1434955	399317	0	6	2	0	47	69	11857148	8.888953e-01	1
SLC5A4	498785	580	-34	917908	263252	0	3	3	0	50	43	8978167	8.889326e-01	1
OPN1SW	830283	310	35	480184	136451	0	1	1	0	50	58	12447535	8.890466e-01	1
INPP5F	656842	199	43	1598040	413985	0	4	3	0	50	40	11542172	8.890939e-01	1
GLP2R	76286	212	-53	770263	219827	0	2	0	0	18	24	5690219	8.891029e-01	1
NRG1	28018	952	-32	1656326	474394	0	7	1	0	5	6	1391337	8.891395e-01	1
LIMK2	667559	221	43	1081572	299922	0	2	2	0	50	39	11814495	8.892109e-01	1
WIZ	524410	481	33	1041814	355313	0	11	2	0	50	62	12807480	8.892111e-01	1
SUCLA2	322899	636	35	654270	176016	0	1	0	0	33	17	5646215	8.893100e-01	1
UGT1A7	NaN	NaN	NaN	726838	204773	0	1	0	0	50	99	21698025	8.894445e-01	1
UHMK1	334603	248	3	607371	167331	0	2	2	0	4	6	1389986	8.894693e-01	1
TARSL2	255024	469	2	1151245	286412	0	4	1	0	34	43	10089847	8.895054e-01	1
RGS22	290819	449	22	1821148	438689	0	10	6	0	12	17	3302423	8.895775e-01	1
ZNF496	352232	742	-15	808863	228705	0	3	0	0	13	10	2301525	8.895964e-01	1
SEC14L1	777991	192	20	1014408	274446	0	3	1	0	50	50	12175019	8.896057e-01	1
CARD11	635400	558	24	1617147	442356	0	5	2	0	31	40	7897946	8.896414e-01	1
LIPN	175532	327	31	570508	139925	0	1	0	0	50	46	10672900	8.897132e-01	1
RC3H2	407115	430	26	1686048	474780	0	5	0	0	1	0	629952	8.897674e-01	1
OR2T6	104321	936	-39	417073	119660	0	3	3	0	9	15	1324173	8.897894e-01	1
HOXD11	242935	874	15	447953	143206	0	1	0	0	50	50	10560767	8.897964e-01	1
MRVI1	755456	391	21	1250447	364963	0	3	0	0	24	21	7033306	8.898132e-01	1
HCN3	1574928	194	45	1020584	342961	0	3	3	0	50	52	11274095	8.898461e-01	1
SCMH1	287585	346	25	979668	270393	0	3	3	0	21	19	4607489	8.898953e-01	1
NIPAL4	266195	1087	41	624548	198211	0	1	1	0	50	38	9738201	8.899286e-01	1
ONECUT2	300344	480	15	667780	212879	0	1	0	0	17	8	3024503	8.899302e-01	1
ACOXL	NaN	NaN	NaN	821987	226582	0	2	1	0	50	100	21719834	8.899334e-01	1
LIG3	362649	525	15	1438429	393527	0	4	3	0	50	45	12581284	8.899422e-01	1
XIAP	337935	NaN	14	701748	177174	0	1	0	0	50	41	11755244	8.899761e-01	1
MTO1	720190	139	29	1046253	300501	0	2	1	0	50	38	11591580	8.901247e-01	1
AARSD1	1507064	201	26	853253	229477	0	2	0	0	31	25	5764138	8.901892e-01	1
FES	833957	291	42	1141595	329644	0	3	1	0	50	41	11770684	8.902743e-01	1
CHST14	888588	192	47	488097	166752	0	1	1	0	50	52	11326977	8.903857e-01	1
DDX53	86947	NaN	6	861938	237004	0	1	0	0	29	20	6628392	8.903994e-01	1
PLBD2	442841	251	37	810986	240478	0	1	0	0	18	9	3265174	8.905435e-01	1
PTPRD	15780	1275	-26	2697947	743629	0	19	4	0	35	48	8327950	8.906552e-01	1
MNT	752972	271	28	760034	264217	0	1	0	0	50	37	12280783	8.907761e-01	1
TAF2	272257	591	13	1718279	424021	0	5	0	0	1	0	551015	8.908654e-01	1
GOLGA6B	1113552	419	37	952262	243952	0	1	0	0	5	1	1243306	8.908758e-01	1
EFNB2	167697	1267	2	464358	126222	0	1	2	0	4	4	916943	8.909472e-01	1
GNB1L	690032	204	10	443128	140504	0	2	2	0	2	4	720662	8.909856e-01	1
TRIP12	321955	722	21	2792517	761964	0	7	3	0	23	27	7945617	8.910169e-01	1
NPAS2	339144	406	14	1157421	321924	0	3	4	0	13	7	2535055	8.911091e-01	1
RBM46	73501	1021	-18	738997	197825	0	2	0	0	31	40	7458099	8.911240e-01	1
NBPF15	NaN	NaN	NaN	965965	234302	0	2	0	0	50	99	21727554	8.911747e-01	1
RABGAP1L	235125	938	7	1221883	307835	0	6	1	0	5	6	1394425	8.912754e-01	1
SMARCD3	610106	290	32	699625	196088	0	1	2	0	25	21	6266903	8.912957e-01	1
SOX18	1152034	208	48	493694	177367	0	1	0	0	50	62	13036764	8.914055e-01	1
MPP2	1025836	241	19	760999	227354	0	2	2	0	50	48	11786896	8.914089e-01	1
RNF17	486857	629	29	2322755	580351	0	6	4	0	5	7	1898541	8.914682e-01	1
METTL13	419860	718	-5	957473	274639	0	2	1	0	50	43	9591135	8.914753e-01	1
KRT39	977588	404	10	680711	188947	0	3	1	0	50	53	7739879	8.914789e-01	1
CD180	36320	392	14	906135	248391	0	1	0	0	26	17	6392932	8.915046e-01	1
RECQL4	1755818	291	7	1626411	521679	0	7	3	0	24	29	5873955	8.915137e-01	1
SP6	1071489	214	29	496782	160383	0	1	0	0	50	55	10219157	8.915294e-01	1
CDH15	1307930	254	38	1092766	354155	0	3	3	0	16	26	4148149	8.916686e-01	1
KCNS1	865186	324	46	691519	230828	0	1	1	0	50	63	14937235	8.917348e-01	1
IPO5	496805	532	2	1596882	404142	0	3	1	0	14	7	3010028	8.917936e-01	1
DDX19A	1126886	134	44	682062	176595	0	1	0	0	13	8	2846557	8.918274e-01	1
LPPR3	2168802	198	28	980826	331767	0	1	1	0	50	67	12240832	8.918417e-01	1
ABI3BP	459170	548	-1	1533771	415143	0	4	1	0	6	4	1748580	8.919045e-01	1
PRPF3	1301004	182	34	961912	260936	0	3	1	0	36	46	9695162	8.919254e-01	1
ZC3H4	1263858	179	37	1762669	534803	0	7	2	0	12	14	3256489	8.919260e-01	1
NUP54	525212	403	38	712749	195123	0	1	2	0	50	44	11295132	8.919721e-01	1
ZNF618	354541	591	-3	1204320	324240	0	2	0	0	4	2	1388056	8.920363e-01	1
GAS8	939646	221	31	678781	176402	0	2	2	0	31	37	6449288	8.921400e-01	1
FCGR2B	598281	504	20	439461	118116	0	2	2	0	28	33	4885988	8.922116e-01	1
ATP10B	170108	904	11	2029009	561437	0	8	1	0	11	8	2735968	8.922798e-01	1
TDO2	44515	745	-2	590773	142820	0	2	3	0	6	7	1453290	8.923623e-01	1
MTMR9	499514	671	36	771807	204387	0	1	0	0	38	21	7325701	8.924058e-01	1
RAPGEF4	397338	345	16	1457150	378280	0	2	1	0	37	24	8708546	8.924772e-01	1
RCC1	NaN	NaN	NaN	626864	183157	0	1	0	0	50	99	21676409	8.925035e-01	1
MDGA1	359430	461	50	1301399	396229	0	3	1	0	50	52	13258135	8.925815e-01	1
RANBP10	1098330	136	50	867535	241250	0	1	0	0	30	16	6336962	8.926009e-01	1
NPTX2	545145	560	20	575719	183929	0	1	1	0	50	45	10422965	8.926472e-01	1
ACAT2	648197	420	22	549085	160769	0	1	0	0	50	53	13521580	8.928182e-01	1
CHORDC1	132433	1152	-21	486939	114642	0	2	1	0	5	7	1198144	8.928320e-01	1
ZNF157	792781	NaN	29	708310	180455	0	2	0	0	14	13	3164042	8.928884e-01	1
NEDD4	259242	271	-1	2004691	523802	0	4	4	0	50	40	11271586	8.929334e-01	1
NFATC4	897133	265	40	1295030	442549	0	2	2	0	50	45	14000413	8.929903e-01	1
SMOC2	121125	883	-32	652147	171191	0	3	0	0	50	61	9864616	8.930401e-01	1
ZP4	14616	1051	-30	750577	215774	0	3	3	0	11	21	2228571	8.930515e-01	1
MCPH1	128440	702	9	1176335	310537	0	3	0	0	50	53	14874896	8.930742e-01	1
EIF2S2	898361	357	55	486939	111747	0	1	0	0	50	45	8799256	8.931046e-01	1
FAM120C	610328	NaN	28	1494592	458375	0	5	0	0	3	3	1318383	8.931225e-01	1
CREB3L3	2256881	244	42	627636	195702	0	2	3	0	10	12	2504947	8.931405e-01	1
INO80B	1069803	343	45	475359	156330	0	1	0	0	25	28	5857164	8.931749e-01	1
ERC2	121781	694	17	1349456	345856	0	6	2	0	50	51	10816492	8.932680e-01	1
HTR3D	1423268	375	38	701362	204773	0	2	0	0	18	28	4907797	8.933041e-01	1
DCDC2B	1460758	218	29	477482	148996	0	1	1	0	50	56	11756016	8.933246e-01	1
PRELP	529605	314	28	511450	158453	0	1	2	0	48	50	10499586	8.933325e-01	1
TRIM17	654512	278	7	722399	210370	0	1	1	0	50	63	15507357	8.933884e-01	1
ZAR1	310162	396	52	559893	185280	0	1	0	0	50	50	10933450	8.934854e-01	1
LINGO1	400940	503	38	816390	265761	0	2	0	0	8	9	2443380	8.935082e-01	1
THAP4	1213423	426	21	785896	234302	0	2	0	0	50	54	10737362	8.935099e-01	1
ALG3	1460188	257	49	622811	190684	0	1	0	0	50	45	11235688	8.935146e-01	1
SCML1	70191	NaN	15	463972	124871	0	1	0	0	50	67	12267080	8.935274e-01	1
SRGAP3	373293	469	22	1562721	416880	0	2	4	0	8	8	2588902	8.935395e-01	1
LYPD3	368705	182	-29	462235	149768	0	1	1	0	50	69	11736716	8.935547e-01	1
PTPN12	306142	489	24	1112452	284675	0	5	3	0	16	19	3625698	8.936722e-01	1
TOX	192821	695	19	732435	201492	0	4	4	0	13	13	1780039	8.936997e-01	1
ZACN	1611239	218	22	564139	172928	0	1	0	0	37	48	10814948	8.937082e-01	1
EPN3	1532661	200	20	843796	274253	0	3	1	0	14	25	4977084	8.937422e-01	1
MX2	241283	506	46	1011127	262673	0	3	4	0	26	23	5135537	8.938307e-01	1
USP42	1663156	229	43	1172668	318257	0	4	2	0	50	55	12355474	8.939223e-01	1
PCM1	381765	253	2	2891912	711205	0	9	1	0	5	3	1594566	8.939605e-01	1
PNPLA6	610314	205	34	1877311	590387	0	6	1	0	2	2	1212812	8.939916e-01	1
XK	115395	NaN	11	602160	176595	0	1	1	0	50	49	11075305	8.940480e-01	1
XPO4	413321	385	42	1622937	430197	0	9	0	0	0	0	430197	8.940551e-01	1
NDRG2	1005555	429	4	531908	148996	0	1	0	0	30	24	4781575	8.940552e-01	1
NRBP1	1244404	179	39	764087	206317	0	2	1	0	29	30	6705592	8.940675e-01	1
TTLL8	895187	271	36	1147578	332346	0	2	1	0	50	48	14747323	8.941858e-01	1
EIF4G1	1447013	268	44	2197112	653884	0	6	2	0	50	51	15219401	8.942670e-01	1
VCAN	253331	529	0	4600348	1332665	0	18	4	0	2	4	1605374	8.943032e-01	1
STX11	298896	322	23	392562	110010	0	1	2	0	4	3	701362	8.943734e-01	1
FGFRL1	689217	247	58	672026	220213	0	1	0	0	41	32	8754480	8.944448e-01	1
LCA5L	339359	346	25	945121	237776	0	1	1	0	50	29	10998684	8.944470e-01	1
UGT2B15	106841	NaN	-2	1490732	380596	0	3	0	0	3	1	1227480	8.944571e-01	1
EDNRA	71235	430	-6	604283	155365	0	1	1	0	50	39	11015089	8.944880e-01	1
BRPF3	821543	358	31	1642816	479798	0	4	2	0	50	39	9909006	8.945195e-01	1
BTBD11	206629	764	16	1549597	467639	0	4	1	0	40	27	8246697	8.945258e-01	1
SLC16A13	1696302	360	24	545997	202650	0	1	2	0	50	47	8813152	8.945455e-01	1
ETFB	368509	610	-9	486746	161734	0	2	3	0	14	11	1697242	8.946010e-01	1
GORASP2	414976	406	36	612389	195316	0	1	0	0	50	45	11728803	8.946146e-01	1
KIAA0895	342379	285	17	739190	196474	0	1	0	0	10	8	3283123	8.946195e-01	1
CAPZA3	82407	911	-29	414178	108080	0	2	1	0	50	61	9225593	8.946461e-01	1
MC1R	1207036	221	45	410125	142241	0	2	2	0	5	16	1961652	8.946645e-01	1
CPT2	527317	391	27	893397	260550	0	3	0	0	9	6	1543228	8.947859e-01	1
EBF2	277181	616	-1	813302	223108	0	1	1	0	22	15	5327958	8.948280e-01	1
NOL8	527573	574	45	1658256	407616	0	5	0	0	9	5	2029974	8.949038e-01	1
KDM1B	477756	397	1	840322	223301	0	2	3	0	14	13	3112318	8.949984e-01	1
TRIOBP	1114524	180	74	3273280	1061114	0	13	1	0	3	3	1391916	8.950930e-01	1
HTR4	89834	578	10	669710	190105	0	1	1	0	50	42	13061082	8.952115e-01	1
LEFTY2	923085	239	20	486360	158067	0	1	2	0	26	30	6109415	8.953161e-01	1
RGPD2	177375	633	3	4914938	1293100	0	5	0	0	4	0	1860134	8.954895e-01	1
SETMAR	96339	400	-20	940296	256497	0	1	0	0	12	7	3375763	8.955499e-01	1
TRIM49	151171	1107	-28	644813	155944	0	2	0	0	50	90	15181573	8.955510e-01	1
ATAD3C	1725369	187	27	573596	167524	0	1	0	0	50	61	11691940	8.957558e-01	1
WNT7B	498719	270	28	479605	135293	0	1	2	0	44	40	8170655	8.958094e-01	1
GATAD2B	1697153	161	36	816776	237583	0	2	1	0	5	4	1298118	8.958930e-01	1
SPAG5	1651143	225	31	1666748	461656	0	4	0	0	1	0	612003	8.959385e-01	1
DMP1	500313	623	-7	736681	167717	0	1	2	0	50	36	9510847	8.959698e-01	1
ZNF562	776094	617	-51	604283	148996	0	2	1	0	50	97	16380489	8.961126e-01	1
PCDH8	248822	638	27	1376669	488290	0	5	2	0	29	25	5223545	8.961646e-01	1
ZNF398	611542	254	24	873132	255339	0	2	0	0	19	17	4134060	8.961870e-01	1
ARPC1B	903923	263	51	527083	141662	0	1	1	0	50	60	12737035	8.962639e-01	1
APOBEC3G	1386387	372	71	551980	132977	0	1	2	0	35	34	6129873	8.962749e-01	1
ZNF449	255033	NaN	36	724136	186631	0	1	1	0	50	37	10026350	8.962989e-01	1
RNF44	607190	318	49	589422	185859	0	1	2	0	50	40	9396205	8.963896e-01	1
EXT2	291324	616	7	1094696	298957	0	1	1	0	27	25	5262724	8.964035e-01	1
SELPLG	448698	280	40	519363	185280	0	1	0	0	14	12	3205344	8.964273e-01	1
DFNB31	260520	290	19	1191582	411090	0	2	1	0	12	9	3489054	8.964762e-01	1
OSBPL6	150530	526	16	1386126	358401	0	3	1	0	31	21	6783757	8.964769e-01	1
GSN	579825	326	42	1096433	321538	0	1	1	0	50	27	10052984	8.965394e-01	1
DNTTIP2	558028	275	9	1058605	272516	0	2	1	0	28	31	8913898	8.965415e-01	1
CTPS2	295447	NaN	30	844375	216932	0	1	1	0	50	48	12299311	8.965479e-01	1
FNDC1	805575	596	23	2527721	814846	0	9	5	0	23	36	7381478	8.965774e-01	1
NCKAP1L	643138	151	35	1599777	430197	0	4	4	0	50	42	11194772	8.965817e-01	1
ZNF765	374515	876	-62	742857	174279	0	1	0	0	50	39	9505250	8.965831e-01	1
ARHGAP19	945635	397	26	700011	186438	0	5	2	0	4	8	1110908	8.965864e-01	1
PJA1	136194	NaN	39	873325	245303	0	4	0	0	8	12	2010288	8.967669e-01	1
ISYNA1	1384225	259	42	755016	239127	0	1	0	0	10	9	2462294	8.968720e-01	1
MTSS1	481244	561	39	1038726	304554	0	3	3	0	50	53	11391825	8.970379e-01	1
TRPM4	2151496	267	43	1649764	517433	0	6	1	0	4	2	1063430	8.970435e-01	1
MNDA	97345	985	2	573403	149189	0	1	1	0	50	45	10194839	8.970480e-01	1
EEF1D	2183482	235	37	877957	266147	0	1	2	0	50	30	10645880	8.972284e-01	1
GFRAL	28347	729	-14	573596	132205	0	2	0	0	11	19	3550621	8.972303e-01	1
LRRC32	269123	379	26	855376	300887	0	2	1	0	50	47	12432867	8.972350e-01	1
SLC6A16	2237411	309	35	1011706	293939	0	3	2	0	50	44	11190719	8.972919e-01	1
HSPH1	194024	518	35	1224199	307256	0	6	0	0	12	15	3161919	8.972997e-01	1
PHKG1	738325	642	4	545804	150154	0	1	0	0	8	4	1437464	8.973019e-01	1
GKAP1	468451	384	5	535961	126994	0	1	1	0	50	53	11866219	8.974075e-01	1
PGBD4	409752	384	1	798055	220985	0	2	0	0	50	47	10446897	8.975028e-01	1
G6PC	1629499	190	23	492922	139346	0	1	1	0	36	51	10512517	8.975221e-01	1
GUSB	434728	365	31	902468	255532	0	1	1	0	50	27	9270369	8.975590e-01	1
ACSM4	1157790	439	27	815618	221371	0	2	0	0	4	7	1888698	8.975935e-01	1
PPFIBP2	104307	853	12	1239832	336785	0	2	2	0	50	55	11097307	8.975984e-01	1
KRT3	1444461	422	38	854797	257462	0	4	4	0	24	26	4604980	8.976884e-01	1
PROC	443349	175	30	650217	170805	0	2	0	0	14	11	2397832	8.977496e-01	1
P4HB	3798594	211	19	717574	189719	0	2	3	0	28	21	4176906	8.978295e-01	1
DLAT	403342	179	27	882782	272902	0	1	0	0	20	19	6143190	8.978406e-01	1
KRBA2	772200	257	20	682255	177560	0	1	0	0	17	13	3658122	8.978815e-01	1
CA7	868790	142	24	372490	101711	0	1	2	0	3	4	845147	8.979011e-01	1
PPP2R1A	478211	896	-38	811758	245496	0	2	2	0	50	46	9814629	8.979363e-01	1
CTNNB1	305811	448	8	1080028	313046	0	8	0	0	0	0	313046	8.981266e-01	1
DNAH7	105357	518	-3	5671884	1468923	0	25	8	0	50	41	11943419	8.981923e-01	1
ALDH7A1	235232	191	19	766210	211142	0	1	1	0	50	34	10399612	8.982303e-01	1
ATP6V1E1	431401	243	-32	333311	79516	0	1	0	0	29	49	7437255	8.982646e-01	1
OBSL1	548994	487	35	2574234	852867	0	8	2	0	5	8	2290331	8.982942e-01	1
HK1	712074	229	47	1365282	375192	0	6	4	0	8	7	1523735	8.982964e-01	1
RACGAP1	1018478	211	52	891081	245496	0	2	0	0	9	4	1454062	8.983082e-01	1
OPRL1	1032302	312	51	487325	164050	0	1	2	0	50	58	11300150	8.983115e-01	1
MBTD1	787991	267	-10	902468	224845	0	3	0	0	29	29	5956752	8.984355e-01	1
ITGA6	381919	371	23	1591478	426916	0	2	1	0	50	26	11471341	8.984745e-01	1
PGBD5	286328	478	10	635163	171963	0	1	2	0	50	44	12139507	8.984871e-01	1
STRADA	1097630	319	10	639216	171384	0	2	1	0	50	59	9128128	8.985510e-01	1
UGT1A3	NaN	NaN	NaN	729347	209212	0	1	0	0	50	99	21702464	8.985695e-01	1
NPR2	885056	190	51	1473941	435022	0	6	2	0	50	54	10685059	8.986784e-01	1
MMRN2	396293	164	36	1271484	392562	0	2	2	0	28	26	6405477	8.986824e-01	1
PCCB	229049	484	25	785317	223301	0	2	2	0	50	41	8699861	8.986940e-01	1
PCDHGB3	662513	568	2	1249482	387930	0	5	1	0	34	41	9418786	8.988619e-01	1
ENPP4	64703	791	12	631496	164050	0	1	0	0	50	38	11021651	8.988862e-01	1
LZTS2	1020226	247	40	868886	304168	0	2	0	0	18	14	3479790	8.989182e-01	1
OR9Q1	690075	744	-13	415915	126608	0	2	3	0	12	22	2374093	8.990771e-01	1
EPC2	91724	642	7	1137156	297606	0	3	0	0	50	58	14142461	8.993948e-01	1
NFE2L3	910990	445	39	942033	272130	0	8	0	0	0	0	272130	8.994050e-01	1
MSTO1	2230401	185	32	784159	238934	0	2	1	0	50	64	12839518	8.994071e-01	1
GNA15	908206	241	21	522644	142627	0	1	1	0	50	48	10057616	8.994483e-01	1
GNRHR	209065	767	35	480184	95921	0	2	2	0	5	7	1166106	8.994737e-01	1
TAP1	1253457	401	26	1071343	357050	0	3	1	0	17	15	3342374	8.995138e-01	1
SKAP1	1097775	588	4	531136	121976	0	1	2	0	11	6	1723490	8.995196e-01	1
BEND7	241076	532	25	668938	190298	0	2	0	0	7	8	1838711	8.995219e-01	1
EGFR	423489	336	-13	1831763	483658	0	5	2	0	44	31	9283686	8.995283e-01	1
CILP	720558	183	57	1606725	467832	0	3	3	0	50	43	10726168	8.995594e-01	1
OR4A5	68	1280	-38	426144	125064	0	3	1	0	1	1	294904	8.995602e-01	1
C1RL	2422791	224	38	670096	190298	0	1	1	0	50	39	9621243	8.995676e-01	1
RNF139	472766	476	28	898415	259006	0	3	3	0	19	18	3220784	8.995741e-01	1
TOR1AIP2	470940	364	5	827005	227354	0	2	1	0	50	47	12186406	8.996161e-01	1
PARP8	76181	1215	14	1224585	320766	0	4	4	0	34	33	7214340	8.996927e-01	1
CACNG6	806175	338	-40	341417	118888	0	1	0	0	5	6	969053	8.997482e-01	1
POLR1D	350423	583	50	349909	88394	0	1	2	0	4	4	688045	8.997540e-01	1
VANGL1	71378	604	7	714872	210949	0	1	0	0	50	45	12302206	8.997636e-01	1
CCDC113	785059	347	15	538663	137609	0	2	0	0	2	1	465709	8.998703e-01	1
GPD2	116871	496	10	1022128	279464	0	2	0	0	13	13	3798433	8.998818e-01	1
IL7R	139461	511	5	646936	169454	0	3	2	0	9	8	1248324	8.999338e-01	1
STAT5A	2072592	190	33	1117663	304940	0	2	2	0	50	59	10406946	8.999409e-01	1
BAAT	112947	898	-22	564911	169840	0	1	0	0	50	50	11698116	8.999658e-01	1
SLC35F3	277114	649	1	671061	198018	0	1	2	0	50	41	10084057	8.999912e-01	1
ATP5G1	757963	239	29	190105	58286	0	1	1	0	2	4	397966	9.000325e-01	1
CELF5	903046	241	39	692291	181420	0	1	1	0	50	58	14476351	9.001481e-01	1
CEACAM5	1341589	499	16	958824	283131	0	2	2	0	50	49	10569645	9.001499e-01	1
PTCH2	656648	191	36	1622937	528627	0	3	1	0	11	6	2682121	9.002840e-01	1
PGGT1B	237444	619	9	533838	142434	0	1	0	0	50	56	11861394	9.004067e-01	1
PNCK	1716845	NaN	44	619530	178332	0	1	0	0	50	49	10356766	9.004429e-01	1
ZNF705A	172474	438	26	430004	103255	0	1	0	0	13	13	2582147	9.004430e-01	1
RTEL1	1110751	172	45	1814007	522258	0	5	2	0	41	31	9206486	9.004476e-01	1
BMP6	830850	327	8	701748	204966	0	4	3	0	19	30	4073072	9.004656e-01	1
MAPK15	2190348	229	30	737646	240285	0	2	2	0	50	64	11839971	9.006234e-01	1
RAG2	96246	531	-26	724329	195123	0	3	2	0	50	72	12415883	9.006862e-01	1
ST8SIA1	401092	910	-22	493887	135486	0	1	1	0	50	51	9745728	9.006927e-01	1
MAP3K7	74576	643	17	872939	218476	0	3	0	0	5	5	1012671	9.008355e-01	1
SEC14L3	657636	288	48	574947	148224	0	1	0	0	28	28	6244515	9.008538e-01	1
FBXL20	1467668	179	20	622039	169454	0	1	0	0	11	15	3447173	9.009155e-01	1
ZNF519	134820	933	-24	766403	177946	0	2	0	0	46	67	13105472	9.010118e-01	1
SPHKAP	93607	615	-9	2331633	649638	0	15	6	0	9	15	2325650	9.010359e-01	1
CCDC19	803074	403	7	788405	197053	0	3	1	0	50	43	8155794	9.010687e-01	1
CYP2C9	278564	721	-15	690554	181999	0	1	1	0	50	39	9419365	9.010760e-01	1
SLC27A3	1687837	175	33	966158	325591	0	3	1	0	32	34	6855939	9.011510e-01	1
FRG1	49764	1059	-15	382912	86657	0	1	1	0	23	30	5292253	9.012223e-01	1
HSD3B1	422140	672	7	510871	145715	0	1	2	0	9	4	1275344	9.012469e-01	1
IKZF5	274189	673	11	584790	152856	0	1	0	0	50	45	10214332	9.012622e-01	1
UBAC2	333101	390	55	575140	134135	0	1	1	0	50	49	11042881	9.012751e-01	1
C6orf62	422850	362	40	327135	81639	0	2	2	0	3	3	442935	9.013285e-01	1
FASLG	116331	506	7	384070	112712	0	2	2	0	4	7	878729	9.014185e-01	1
QPCT	495490	182	32	501800	140890	0	1	0	0	50	52	10335150	9.014909e-01	1
NAGPA	635794	302	9	703292	215002	0	1	1	0	50	52	14484843	9.014925e-01	1
YJEFN3	868278	284	7	404142	133170	0	1	1	0	50	63	10385330	9.015147e-01	1
FHOD1	1109491	150	46	1562142	510099	0	3	2	0	31	21	7102014	9.015219e-01	1
AP1M2	2036812	226	23	602546	160576	0	1	1	0	50	47	12105346	9.015265e-01	1
DENND3	360825	204	51	1673889	459726	0	5	0	0	2	0	622425	9.016860e-01	1
DPH1	1415256	294	27	612775	187403	0	1	1	0	50	48	11675921	9.017582e-01	1
MSH3	319054	752	36	1601514	429618	0	4	1	0	11	5	2726125	9.017687e-01	1
FZD9	904644	399	48	771228	257076	0	1	2	0	50	53	13419290	9.017916e-01	1
