lncRNA.A	partner	cv
NR2F1-AS1	LINC00968	0.987944287610186
OTUD6B-AS1	LINC01268	0.79065953620752
OTUD6B-AS1	FENDRR	0.805718094893041
OTUD6B-AS1	LINC00968	0.987944287610186
PAN3-AS1	FENDRR	0.805718094893041
PCAT4	FENDRR	0.805718094893041
PCAT4	LINC00702	0.930650678314964
PCAT4	PCAT19	0.979771113594899
PDCD4-AS1	FENDRR	0.805718094893041
PDCD4-AS1	PCAT19	0.979771113594899
PDCD4-AS1	LINC00968	0.987944287610186
PDZRN3-AS1	FENDRR	0.805718094893041
PDZRN3-AS1	PCAT19	0.979771113594899
PDZRN3-AS1	LINC00968	0.987944287610186
PINK1-AS	PAN3-AS1	0.684625536163653
PINK1-AS	FENDRR	0.805718094893041
PINK1-AS	LINC00702	0.930650678314964
PP12613	FENDRR	0.805718094893041
PP12613	PCAT19	0.979771113594899
PP12613	LINC00968	0.987944287610186
PRICKLE2-AS3	FENDRR	0.805718094893041
PRICKLE2-AS3	LINC00472	0.889776111332617
PRICKLE2-AS3	PCAT19	0.979771113594899
PSMB8-AS1	LINC01268	0.79065953620752
PSMB8-AS1	FENDRR	0.805718094893041
PSMB8-AS1	LINC00472	0.889776111332617
PSMD6-AS2	FENDRR	0.805718094893041
RAB11B-AS1	LINC01268	0.79065953620752
RAB11B-AS1	FENDRR	0.805718094893041
RAB11B-AS1	LINC00702	0.930650678314964
RARA-AS1	FENDRR	0.805718094893041
RARA-AS1	LINC00968	0.987944287610186
RASSF8-AS1	FENDRR	0.805718094893041
RASSF8-AS1	PCAT19	0.979771113594899
RASSF8-AS1	LINC00968	0.987944287610186
RBM26-AS1	FENDRR	0.805718094893041
RBM26-AS1	LINC00968	0.987944287610186
RFPL1S	FENDRR	0.805718094893041
RFPL1S	PGM5-AS1	0.918258404327314
RFPL1S	PCAT19	0.979771113594899
RGS5	FENDRR	0.805718094893041
RPL34-AS1	FENDRR	0.805718094893041
RPL34-AS1	PCAT19	0.979771113594899
RPL34-AS1	LINC00968	0.987944287610186
SDCBP2-AS1	FENDRR	0.805718094893041
SDCBP2-AS1	LINC00702	0.930650678314964
SDCBP2-AS1	PCAT19	0.979771113594899
SENCR	FENDRR	0.805718094893041
SENCR	LINC00968	0.987944287610186
SH3RF3-AS1	FENDRR	0.805718094893041
SH3RF3-AS1	LINC00968	0.987944287610186
SHANK2-AS3	FENDRR	0.805718094893041
SHANK2-AS3	PCAT19	0.979771113594899
SHANK2-AS3	LINC00968	0.987944287610186
SLC16A1-AS1	FENDRR	0.805718094893041
SLC16A1-AS1	SFTA1P	0.885862997813533
SLC16A1-AS1	LINC00472	0.889776111332617
SLC2A1-AS1	FENDRR	0.805718094893041
SLC2A1-AS1	PGM5-AS1	0.918258404327314
SLC2A1-AS1	PCAT19	0.979771113594899
SLIT2-IT1	FENDRR	0.805718094893041
SLIT2-IT1	RBPMS-AS1	0.856749897219051
SLIT2-IT1	LINC00472	0.889776111332617
SMCR5	FENDRR	0.805718094893041
SMCR5	LINC00472	0.889776111332617
SMCR5	PCAT19	0.979771113594899
SMIM2-AS1	FENDRR	0.805718094893041
SMIM2-AS1	PCAT19	0.979771113594899
SMIM2-AS1	LINC00968	0.987944287610186
SND1-IT1	FENDRR	0.805718094893041
SND1-IT1	LINC00968	0.987944287610186
SNHG18	FENDRR	0.805718094893041
SNHG18	LINC00968	0.987944287610186
SNHG19	FENDRR	0.805718094893041
SNHG19	LINC00622	0.873106940471778
SNHG19	LINC00472	0.889776111332617
SNHG9	FENDRR	0.805718094893041
SNHG9	PCAT19	0.979771113594899
SNHG9	LINC00968	0.987944287610186
SNRK-AS1	FENDRR	0.805718094893041
SORCS3-AS1	FENDRR	0.805718094893041
SORCS3-AS1	LINC00702	0.930650678314964
SORCS3-AS1	PCAT19	0.979771113594899
SPATA13	FENDRR	0.805718094893041
SPATA13	PCAT19	0.979771113594899
ST7-AS1	FENDRR	0.805718094893041
ST7-AS1	LINC00472	0.889776111332617
ST7-AS1	LINC00702	0.930650678314964
TBX5-AS1	FENDRR	0.805718094893041
THAP9-AS1	FENDRR	0.805718094893041
THAP9-AS1	LINC00472	0.889776111332617
THAP9-AS1	PCAT19	0.979771113594899
TMEM108-AS1	PAN3-AS1	0.684625536163653
TMEM108-AS1	FENDRR	0.805718094893041
TMEM108-AS1	PCAT19	0.979771113594899
TNK2-AS1	LINC01268	0.79065953620752
TNK2-AS1	FENDRR	0.805718094893041
TNK2-AS1	TBX5-AS1	0.839331598112737
TOLLIP-AS1	RBMS3-AS3	0.644423241271493
TOLLIP-AS1	PAN3-AS1	0.684625536163653
TOLLIP-AS1	LINC01268	0.79065953620752
TRAF3IP2-AS1	FENDRR	0.805718094893041
TRAF3IP2-AS1	LINC00472	0.889776111332617
TRAF3IP2-AS1	LINC00702	0.930650678314964
TRG-AS1	FENDRR	0.805718094893041
TRG-AS1	PCAT19	0.979771113594899
TRPM2-AS	PAN3-AS1	0.684625536163653
TRPM2-AS	LINC01268	0.79065953620752
TRPM2-AS	FENDRR	0.805718094893041
TSC22D1-AS1	FENDRR	0.805718094893041
TSC22D1-AS1	PCAT19	0.979771113594899
TSC22D1-AS1	LINC00968	0.987944287610186
TSIX	FENDRR	0.805718094893041
TSIX	TBX5-AS1	0.839331598112737
TSIX	LINC00968	0.987944287610186
TTLL11-IT1	FENDRR	0.805718094893041
TTLL11-IT1	LINC00702	0.930650678314964
TTLL11-IT1	PCAT19	0.979771113594899
TTLL7-IT1	FENDRR	0.805718094893041
TTLL7-IT1	TBX5-AS1	0.839331598112737
TTLL7-IT1	PCAT19	0.979771113594899
TTN-AS1	LINC01268	0.79065953620752
TTN-AS1	FENDRR	0.805718094893041
TTN-AS1	TBX5-AS1	0.839331598112737
TTTY1	FENDRR	0.805718094893041
TTTY1	PCAT19	0.979771113594899
TTTY11	PAN3-AS1	0.684625536163653
TTTY11	FENDRR	0.805718094893041
TTTY11	PCAT19	0.979771113594899
TTTY12	LINC01268	0.79065953620752
TTTY12	FENDRR	0.805718094893041
TTTY12	LINC00472	0.889776111332617
TTTY7	FENDRR	0.805718094893041
TTTY7	SFTA1P	0.885862997813533
TTTY7	LINC00472	0.889776111332617
TTTY8	LINC01268	0.79065953620752
TTTY8	FENDRR	0.805718094893041
TTTY8	TBX5-AS1	0.839331598112737
TUSC8	PAN3-AS1	0.684625536163653
TUSC8	FENDRR	0.805718094893041
TUSC8	TBX5-AS1	0.839331598112737
UBXN7-AS1	FENDRR	0.805718094893041
USP2-AS1	FENDRR	0.805718094893041
USP2-AS1	TBX5-AS1	0.839331598112737
USP2-AS1	LINC00472	0.889776111332617
USP27X-AS1	PAN3-AS1	0.684625536163653
USP27X-AS1	FENDRR	0.805718094893041
USP27X-AS1	PCAT19	0.979771113594899
USP30-AS1	FENDRR	0.805718094893041
USP30-AS1	PCAT19	0.979771113594899
USP30-AS1	LINC00968	0.987944287610186
USP46-AS1	FENDRR	0.805718094893041
USP46-AS1	PCAT19	0.979771113594899
USP46-AS1	LINC00968	0.987944287610186
VPS9D1-AS1	FENDRR	0.805718094893041
VPS9D1-AS1	LINC00472	0.889776111332617
VPS9D1-AS1	PCAT19	0.979771113594899
WDR11-AS1	FENDRR	0.805718094893041
WDR11-AS1	PCAT19	0.979771113594899
WDR11-AS1	LINC00968	0.987944287610186
WWC2-AS2	FENDRR	0.805718094893041
WWC2-AS2	PCAT19	0.979771113594899
WWC2-AS2	LINC00968	0.987944287610186
XIST	FENDRR	0.805718094893041
XIST	LINC00702	0.930650678314964
XIST	PCAT19	0.979771113594899
ZBTB46-AS1	FENDRR	0.805718094893041
ZBTB46-AS1	LINC00968	0.987944287610186
ZEB1-AS1	LINC01268	0.79065953620752
ZEB1-AS1	FENDRR	0.805718094893041
ZEB1-AS1	LINC00622	0.873106940471778
ZNF503-AS1	FENDRR	0.805718094893041
ZNF503-AS1	PCAT19	0.979771113594899
ZNF503-AS2	FENDRR	0.805718094893041
ZNF503-AS2	TBX5-AS1	0.839331598112737
ZNF503-AS2	PCAT19	0.979771113594899
ZNF571-AS1	FENDRR	0.805718094893041
ZNF571-AS1	TBX5-AS1	0.839331598112737
ZNF571-AS1	PCAT19	0.979771113594899
ZNF582-AS1	FENDRR	0.805718094893041
ZNF582-AS1	PCAT19	0.979771113594899
ZNF582-AS1	LINC00968	0.987944287610186
ZNF667-AS1	FENDRR	0.805718094893041
ZNF674-AS1	FENDRR	0.805718094893041
ZNF674-AS1	PCAT19	0.979771113594899
ZNF674-AS1	LINC00968	0.987944287610186
LINC00323	LINC00320	0.609392454392812
LINC01360	LINC00592	0.498455460256348
PWAR6	LINC00622	0.873106940471778
NEGR1-IT1	LINC00968	0.987944287610186
NR2F2-AS1	LINC00968	0.987944287610186
PGM5-AS1	LINC00968	0.987944287610186
RAMP2-AS1	LINC00968	0.987944287610186
SH3BP5-AS1	LINC00968	0.987944287610186
ST7-AS2	LINC01141	0.412986989917873
