,TCGA-S9-A7J2-01,TCGA-E1-A7YI-01,gsym
ENSG00000271978.1,-0.6416,0.2029,RP11-428J1.4
ENSG00000214176.9,2.7657,2.7029,PLEKHM1P
ENSG00000100122.5,0.9343,0.2881,CRYBB1
ENSG00000092529.22,4.5814,4.5286,CAPN3
ENSG00000154975.13,5.3639,3.0859,CA10
ENSG00000257389.1,-9.9658,-9.9658,RP11-153F5.3
ENSG00000056972.18,5.2895,5.14,TRAF3IP2
ENSG00000112818.9,-3.3076,-1.7322,MEP1A
ENSG00000200842.1,-9.9658,-9.9658,Y_RNA
ENSG00000113492.13,-5.5735,-9.9658,AGXT2
ENSG00000143157.11,5.1985,5.7214,POGK
ENSG00000181371.3,-9.9658,-9.9658,OR5M8
ENSG00000266097.1,-9.9658,-9.9658,MIR5192
ENSG00000250413.1,-1.0559,-9.9658,RP11-448G15.1
ENSG00000275778.1,0.7146,-0.7346,PRH1-PRR4
ENSG00000254129.1,-9.9658,-9.9658,CTD-2647L4.1
ENSG00000253735.1,-9.9658,-9.9658,RP11-115J16.3
ENSG00000142875.19,5.5635,5.7364,PRKACB
ENSG00000239547.3,-9.9658,-9.9658,RN7SL843P
ENSG00000237478.2,-9.9658,-9.9658,RP5-926E3.1
ENSG00000075790.10,5.1086,5.323,BCAP29
ENSG00000016602.9,-4.035,-1.0559,CLCA4
ENSG00000253099.1,-9.9658,-9.9658,RNU2-60P
ENSG00000203616.2,-9.9658,-9.9658,RHOT1P2
ENSG00000140522.11,2.6067,1.949,RLBP1
ENSG00000168172.8,3.9327,4.1915,HOOK3
ENSG00000256709.2,-9.9658,-9.9658,RP1-19N1.1
ENSG00000233829.1,-9.9658,-2.8262,AC017078.1
ENSG00000266620.1,-9.9658,-9.9658,MIR5001
ENSG00000109606.12,5.5943,7.0542,DHX15
ENSG00000225928.2,-4.2934,-9.9658,CACYBPP1
ENSG00000120451.10,5.3913,4.9741,SNX19
ENSG00000226536.1,-9.9658,-9.9658,SETP15
ENSG00000113520.10,-9.9658,-9.9658,IL4
ENSG00000279897.1,-2.3147,-2.9324,BIRC6-AS2
ENSG00000213180.4,-9.9658,-9.9658,RPL36AP48
ENSG00000206832.1,-9.9658,-9.9658,RNU6V
ENSG00000277333.1,-9.9658,-9.9658,AC026799.1
ENSG00000239486.1,-9.9658,-9.9658,RP11-163E9.1
ENSG00000276746.1,-9.9658,-9.9658,Metazoa_SRP
ENSG00000200799.1,-9.9658,-9.9658,RNU6-770P
ENSG00000215915.9,-1.9379,0.517,ATAD3C
ENSG00000234409.6,-0.2671,3.5411,AC006547.14
ENSG00000276291.4,4.0454,4.1302,RP11-87H9.2
ENSG00000117133.10,3.5498,5.7711,RPF1
ENSG00000085999.11,-0.8339,4.2017,RAD54L
ENSG00000265891.1,-9.9658,-9.9658,AC017028.7
ENSG00000280148.1,-9.9658,-9.9658,RP3-468K18.7
ENSG00000228403.1,-9.9658,-9.9658,RP11-563N6.6
ENSG00000110172.11,4.4013,4.855,CHORDC1
ENSG00000165646.11,-4.6082,-6.5064,SLC18A2
ENSG00000221016.1,-9.9658,-9.9658,AC002558.1
ENSG00000258337.1,-9.9658,-9.9658,RP11-115H15.2
ENSG00000248770.1,-9.9658,-9.9658,RP11-665C14.1
ENSG00000167384.10,1.4388,3.0305,ZNF180
ENSG00000225124.1,-9.9658,-9.9658,RPL23AP36
ENSG00000113732.8,7.6731,7.4956,ATP6V0E1
ENSG00000248577.1,-9.9658,-9.9658,RP11-122C5.2
ENSG00000281136.1,-9.9658,-9.9658,AC026241.1
ENSG00000278603.1,5.4446,4.1359,RP13-608F4.5
ENSG00000255618.1,2.3366,-0.4719,RP11-357K6.1
ENSG00000277041.1,-9.9658,-9.9658,RP11-368J21.4
ENSG00000238067.1,-9.9658,-9.9658,XKRYP1
ENSG00000106809.10,-0.8863,-1.9942,OGN
ENSG00000252891.1,-9.9658,-9.9658,Y_RNA
ENSG00000138152.8,-4.035,0.058,BTBD16
ENSG00000230428.1,-9.9658,-9.9658,RP1-196A12.1
ENSG00000232896.1,-9.9658,-9.9658,RP11-410K21.2
ENSG00000257178.3,-9.9658,-9.9658,RP11-357H14.16
ENSG00000213421.4,-9.9658,-9.9658,RP11-84O12.2
ENSG00000201432.1,-9.9658,-9.9658,Y_RNA
ENSG00000264957.1,-9.9658,-9.9658,AL109805.1
ENSG00000279001.1,-9.9658,-9.9658,RP11-216P16.5
ENSG00000253983.2,-9.9658,-9.9658,RP1-16A9.1
ENSG00000102921.7,3.928,4.3371,N4BP1
