,P.Value,deltaBeta,feature
cg18853199,4.47E-13,-0.393640498,Body
cg16692735,4.45E-13,0.352774077,IGR
cg02597299,4.42E-13,0.62883871,TSS200
cg25748108,4.42E-13,-0.345055338,TSS1500
cg01978237,4.39E-13,0.6006741,Body
cg12616097,4.38E-13,0.243936472,IGR
cg08650290,4.37E-13,0.304394289,Body
cg26444528,4.36E-13,0.591792389,1stExon
cg11290225,4.34E-13,-0.159668673,Body
cg07298257,4.32E-13,0.370211849,5'UTR
cg02643433,4.31E-13,-0.504912052,Body
cg22374057,4.31E-13,0.369405457,5'UTR
cg15942368,4.30E-13,0.427379278,IGR
cg10752406,4.28E-13,-0.454574523,TSS200
cg25072262,4.28E-13,0.19942545,Body
cg19023977,4.27E-13,0.481393494,Body
cg18273840,4.24E-13,0.631464661,Body
cg01356198,4.19E-13,0.328199308,TSS1500
cg05898092,4.13E-13,-0.420573546,Body
cg18096388,4.12E-13,-0.329777134,1stExon
cg19838154,4.10E-13,-0.23563592,1stExon
cg10389262,4.09E-13,0.471744717,IGR
ch.1.56581040R,4.03E-13,-0.045916262,IGR
cg01805270,4.02E-13,0.259610252,3'UTR
cg17603689,3.94E-13,0.503794978,IGR
cg08065657,3.94E-13,0.492888765,Body
cg21578195,3.94E-13,-0.411206826,TSS200
cg14741228,3.92E-13,-0.281237202,5'UTR
cg08954353,3.87E-13,-0.271203886,Body
cg06896909,3.87E-13,0.531924558,TSS1500
cg22759823,3.87E-13,0.674094786,IGR
cg14416371,3.87E-13,0.691418167,TSS200
cg24035245,3.84E-13,0.582953692,IGR
cg11811510,3.84E-13,-0.444145623,TSS200
cg21514164,3.83E-13,0.562701258,IGR
cg07788092,3.82E-13,0.506648734,TSS200
cg09382127,3.81E-13,0.540400571,IGR
cg25605313,3.78E-13,0.246139557,3'UTR
cg01141459,3.73E-13,0.533885988,1stExon
cg15822328,3.72E-13,-0.376025645,IGR
cg06729034,3.71E-13,0.324212507,IGR
cg23097402,3.68E-13,0.644341386,3'UTR
cg20786131,3.67E-13,-0.283012154,TSS1500
cg05626536,3.65E-13,-0.623790081,Body
cg02076020,3.62E-13,-0.514808432,5'UTR
cg21747271,3.62E-13,-0.359671459,TSS1500
cg05848175,3.60E-13,-0.419190401,TSS200
cg02798576,3.59E-13,0.620657755,IGR
cg23647410,3.56E-13,0.244576492,IGR
cg10124710,3.56E-13,0.526230088,IGR
cg02034689,3.52E-13,0.552188195,IGR
cg09704136,3.48E-13,0.552891399,Body
cg00061635,3.45E-13,-0.46359375,IGR
cg25169706,3.44E-13,0.357639435,Body
cg25492645,3.42E-13,-0.097187402,TSS1500
cg02625536,3.40E-13,0.345089192,Body
cg06285475,3.40E-13,0.255839937,Body
cg25682097,3.37E-13,-0.186716471,Body
cg22167267,3.31E-13,0.26963183,Body
cg26546105,3.31E-13,-0.146404328,IGR
cg10714639,3.30E-13,-0.431141397,Body
cg18007837,3.30E-13,0.591327933,Body
cg09803262,3.30E-13,0.537425654,Body
cg10309354,3.30E-13,0.35952692,IGR
cg15415452,3.29E-13,0.638033972,IGR
cg02700891,3.27E-13,0.564822413,5'UTR
cg20173260,3.27E-13,0.083016838,Body
cg11752894,3.24E-13,-0.504128094,TSS1500
cg00149537,3.24E-13,0.388227632,5'UTR
cg01056615,3.24E-13,-0.392921718,IGR
cg01352175,3.24E-13,0.45592517,IGR
cg16105687,3.22E-13,0.575047221,IGR
cg17565967,3.22E-13,-0.36524486,TSS200
cg23412777,3.21E-13,0.286283254,TSS1500
cg07155724,3.19E-13,0.420416545,5'UTR
cg00011924,3.18E-13,-0.480933695,TSS200
cg11442173,3.15E-13,0.432988205,5'UTR
cg06547766,3.13E-13,0.44210849,TSS200
cg02919794,3.10E-13,0.186405669,Body
cg21195256,3.08E-13,0.689341326,Body
cg10477621,3.04E-13,0.521917941,1stExon
cg14213394,3.04E-13,0.367735379,IGR
cg14537825,3.02E-13,-0.331452776,Body
cg25174438,2.99E-13,0.462395762,IGR
cg22160472,2.96E-13,0.37975961,IGR
cg20935165,2.95E-13,0.618274108,IGR
cg21557724,2.95E-13,0.302500975,Body
cg06617961,2.93E-13,0.324041711,TSS1500
cg06436185,2.93E-13,-0.675020626,Body
cg17904129,2.92E-13,0.191140731,5'UTR
cg07493499,2.91E-13,0.241694878,Body
cg11110643,2.86E-13,-0.102072125,TSS1500
cg26447282,2.84E-13,0.329908158,IGR
cg23598068,2.82E-13,0.436405669,Body
cg14065153,2.78E-13,0.377767201,Body
cg18556676,2.78E-13,0.511595817,IGR
cg18780257,2.77E-13,0.527410325,5'UTR
cg25946059,2.76E-13,-0.656998515,IGR
cg21775245,2.76E-13,0.402112874,TSS200
cg24702147,2.75E-13,-0.579551805,TSS1500
cg00674706,2.75E-13,0.599406769,IGR
cg11760099,2.73E-13,0.389553833,Body
cg01888566,2.72E-13,-0.453357536,5'UTR
cg19514854,2.71E-13,-0.505016347,IGR
cg04063166,2.71E-13,-0.474591771,5'UTR
cg24921022,2.70E-13,0.222650557,3'UTR
cg25774643,2.68E-13,0.657982942,TSS200
cg27606499,2.67E-13,0.604188099,Body
cg03102494,2.67E-13,0.359101976,IGR
cg04389897,2.66E-13,0.616418572,3'UTR
cg26544665,2.62E-13,0.423001024,Body
cg21500354,2.62E-13,0.410434677,TSS200
cg02547394,2.62E-13,0.479134824,TSS200
cg16269755,2.61E-13,0.433655642,Body
cg06982473,2.60E-13,0.383613918,Body
cg22762091,2.59E-13,0.452279785,TSS200
cg01204927,2.58E-13,0.521384853,IGR
cg23141902,2.56E-13,-0.135741073,Body
cg03848004,2.56E-13,0.3412049,Body
cg13575139,2.56E-13,-0.274105767,IGR
cg17092099,2.55E-13,0.381420853,IGR
cg19075081,2.55E-13,0.277913195,Body
cg27353899,2.54E-13,0.466036068,Body
cg17718401,2.54E-13,-0.377112681,TSS1500
cg12195314,2.50E-13,-0.341750537,IGR
cg04519622,2.48E-13,-0.343002281,IGR
cg17985646,2.46E-13,0.589023936,TSS200
cg06012428,2.46E-13,0.268942344,Body
cg18655384,2.46E-13,0.390908262,TSS1500
cg27519828,2.44E-13,-0.293966817,IGR
cg01552919,2.40E-13,0.188261753,Body
cg01883046,2.40E-13,0.469346217,IGR
cg06741996,2.39E-13,0.396965363,Body
cg15188623,2.37E-13,0.474528533,5'UTR
cg12801917,2.33E-13,0.45089625,Body
cg21374324,2.32E-13,0.421686785,Body
ch.16.9041202R,2.31E-13,-0.078169367,IGR
cg10552126,2.30E-13,0.461203537,TSS1500
cg06432655,2.30E-13,0.493415012,5'UTR
cg22374586,2.30E-13,0.427276234,IGR
cg14214165,2.29E-13,0.443318374,5'UTR
cg13787850,2.26E-13,-0.395797455,IGR
ch.12.41606343F,2.26E-13,-0.154648428,IGR
cg23287992,2.24E-13,0.462900712,Body
cg18419175,2.19E-13,0.630024127,3'UTR
cg18556280,2.16E-13,0.298437364,3'UTR
cg24729378,2.16E-13,0.509975672,IGR
cg19029181,2.16E-13,0.533214981,Body
cg12134633,2.15E-13,0.696679773,5'UTR
cg06100227,2.15E-13,-0.048409001,Body
cg25486145,2.14E-13,0.329143102,Body
ch.16.1077096F,2.14E-13,-0.030758646,Body
cg16326402,2.13E-13,0.337697002,5'UTR
cg13407464,2.13E-13,-0.188630664,IGR
cg17897352,2.13E-13,0.30139453,Body
cg00143527,2.11E-13,-0.508720507,TSS1500
cg14415844,2.09E-13,-0.099618542,TSS1500
ch.9.16291106F,2.09E-13,-0.039738489,IGR
cg25449283,2.08E-13,-0.504304725,Body
cg04645150,2.06E-13,0.529735587,IGR
cg15965134,2.06E-13,0.44618081,IGR
cg08393041,2.05E-13,0.61610012,Body
cg08461949,2.04E-13,0.467437059,IGR
cg12845678,2.03E-13,0.151871502,Body
cg19803229,2.03E-13,0.286802629,1stExon
cg03354707,2.03E-13,-0.393504508,Body
cg10232265,2.03E-13,0.354135052,5'UTR
cg26058884,2.01E-13,0.399062919,5'UTR
cg27260772,2.01E-13,0.757284576,Body
cg20624923,2.01E-13,0.531201386,TSS1500
cg05602648,1.99E-13,-0.079773374,TSS200
cg00907267,1.99E-13,-0.466230101,Body
cg20395967,1.98E-13,0.6749898,TSS1500
cg10206380,1.98E-13,0.235560003,5'UTR
cg00983904,1.98E-13,0.547283177,TSS200
cg27116253,1.96E-13,-0.209252682,Body
cg02643597,1.94E-13,0.137858772,Body
cg22885062,1.93E-13,0.168129397,Body
cg13912311,1.93E-13,0.552988042,Body
cg08197797,1.92E-13,-0.135724708,TSS1500
cg04831708,1.92E-13,0.178126899,Body
cg25188006,1.91E-13,0.345747198,5'UTR
cg02297801,1.91E-13,-0.291840282,TSS1500
cg23097079,1.91E-13,-0.30542491,3'UTR
cg18404374,1.88E-13,0.524627389,TSS1500
cg04150495,1.84E-13,0.616535121,TSS1500
cg07110379,1.84E-13,-0.511641632,IGR
cg05341539,1.83E-13,0.608963673,Body
cg26680644,1.83E-13,-0.541402202,5'UTR
cg21211730,1.83E-13,-0.456509159,TSS1500
cg26345105,1.82E-13,0.489642927,IGR
cg01824138,1.80E-13,0.26397928,Body
cg09025393,1.80E-13,-0.433266566,Body
cg16177739,1.78E-13,0.267669626,Body
cg06357940,1.75E-13,0.277998283,Body
cg00301372,1.74E-13,-0.566646731,IGR
cg08107308,1.73E-13,0.367872735,Body
cg25751484,1.73E-13,0.359627972,Body
cg11118422,1.72E-13,0.597891028,IGR
cg08752433,1.71E-13,-0.605839044,Body
cg17164954,1.71E-13,0.452592405,Body
cg13431342,1.70E-13,0.170733946,Body
cg10215766,1.70E-13,0.020431376,Body
cg09990481,1.69E-13,0.44441623,TSS200
cg15176213,1.68E-13,0.470731152,5'UTR
cg14028400,1.67E-13,0.558806823,IGR
cg08444117,1.67E-13,0.146586474,IGR
cg17518215,1.66E-13,0.490510515,IGR
cg03696599,1.65E-13,0.460935944,TSS1500
cg16944597,1.62E-13,0.465666691,1stExon
cg09338032,1.61E-13,0.551298148,IGR
ch.6.2132867R,1.61E-13,-0.048851229,IGR
cg11117099,1.59E-13,-0.132191108,Body
cg18487916,1.59E-13,0.374204785,Body
cg15617155,1.59E-13,0.620339869,IGR
cg06284479,1.58E-13,0.291323,Body
cg21129976,1.57E-13,0.322648185,Body
cg23232299,1.57E-13,0.39855644,5'UTR
cg12614244,1.56E-13,0.210879505,Body
cg10250177,1.55E-13,-0.405467803,5'UTR
cg05189667,1.53E-13,0.480795485,Body
cg14119001,1.51E-13,0.198398971,Body
cg27322071,1.50E-13,0.348462278,Body
cg15972264,1.49E-13,0.373648073,Body
cg09887220,1.48E-13,0.453787815,IGR
cg03018679,1.48E-13,0.407829698,Body
cg19927816,1.47E-13,0.440195259,Body
cg14204600,1.47E-13,0.399293029,Body
cg13065206,1.47E-13,-0.294299244,Body
cg25772221,1.47E-13,-0.56857796,IGR
cg16359657,1.44E-13,0.564114845,5'UTR
cg00767010,1.44E-13,0.619527603,IGR
cg18011064,1.44E-13,-0.367827467,1stExon
cg09905605,1.41E-13,0.250988452,IGR
cg26597242,1.40E-13,0.646281358,TSS1500
cg07805777,1.39E-13,0.555431742,IGR
cg01279413,1.39E-13,-0.414712452,IGR
cg21591742,1.38E-13,0.557653615,TSS1500
cg19547694,1.38E-13,0.269995557,Body
cg09853702,1.38E-13,-0.445681928,IGR
cg04851268,1.36E-13,0.618776985,TSS1500
cg17059658,1.35E-13,0.658560153,5'UTR
cg24685006,1.34E-13,0.570648843,Body
cg16065021,1.34E-13,0.5786233,IGR
cg27371125,1.33E-13,-0.485019373,IGR
cg26251854,1.32E-13,0.351139001,IGR
cg24114014,1.32E-13,0.516226573,IGR
cg18422172,1.30E-13,-0.044473967,TSS1500
cg00346985,1.29E-13,0.44704415,IGR
cg09205920,1.29E-13,0.493139161,IGR
cg18862481,1.27E-13,0.460022294,5'UTR
cg16422365,1.26E-13,-0.426005041,IGR
cg13185413,1.25E-13,0.425051065,Body
cg11725265,1.25E-13,0.272903967,Body
cg26407316,1.24E-13,0.354244035,Body
cg07197785,1.24E-13,0.623804086,IGR
cg09820244,1.24E-13,0.590479104,Body
cg13758780,1.24E-13,0.455871462,Body
ch.17.458890R,1.24E-13,-0.095091454,IGR
cg21636683,1.24E-13,0.33196391,TSS200
cg14911690,1.24E-13,-0.110335643,1stExon
cg23047544,1.21E-13,0.459581933,TSS200
cg16738646,1.20E-13,-0.472012024,Body
cg09303236,1.20E-13,-0.419964547,TSS200
cg12267021,1.20E-13,-0.051916158,5'UTR
cg06719487,1.20E-13,-0.174132018,TSS200
cg11837391,1.19E-13,0.336306961,3'UTR
cg09356020,1.18E-13,0.333937902,Body
cg00323305,1.18E-13,-0.189062597,TSS1500
cg18525486,1.16E-13,0.502054392,Body
cg02009103,1.16E-13,0.055380398,Body
cg05056825,1.16E-13,0.490052801,IGR
cg01511557,1.14E-13,0.419919862,Body
cg08403043,1.14E-13,0.331431347,Body
cg19619405,1.13E-13,0.705974892,TSS200
cg26689934,1.13E-13,-0.51162767,5'UTR
cg18693673,1.13E-13,0.534388358,TSS200
cg02261543,1.12E-13,0.226842154,Body
cg13858803,1.12E-13,0.300512805,Body
cg04019164,1.11E-13,0.301906314,IGR
cg07337914,1.09E-13,-0.32841382,IGR
cg14326805,1.07E-13,-0.323825712,5'UTR
cg23677657,1.06E-13,0.48815806,Body
cg19938436,1.05E-13,0.454378021,IGR
cg19893473,1.04E-13,0.581995264,IGR
cg26812169,1.02E-13,0.200433917,3'UTR
cg07473201,1.02E-13,0.188509235,Body
cg22139212,1.02E-13,0.317783192,Body
cg20802392,1.01E-13,0.480174211,5'UTR
cg04626878,1.01E-13,-0.414581499,TSS200
cg06425919,1.00E-13,0.489904316,1stExon
cg12142865,1.00E-13,-0.209917715,Body
cg26074603,9.99E-14,0.66241734,1stExon
cg23416002,9.79E-14,-0.526773297,IGR
cg11390741,9.76E-14,0.501438609,Body
cg21026469,9.67E-14,-0.366619955,IGR
cg01020484,9.53E-14,0.369914825,3'UTR
cg14737994,9.52E-14,0.376702267,5'UTR
cg10256255,9.42E-14,0.278780386,IGR
cg23250574,9.42E-14,0.595758425,IGR
cg25869196,9.29E-14,0.380494967,5'UTR
cg00275557,9.08E-14,-0.045113121,IGR
cg10624729,9.07E-14,0.415927387,Body
cg14497054,9.07E-14,0.373597762,IGR
cg02933228,8.99E-14,-0.422288696,Body
cg02662417,8.98E-14,0.48622569,Body
cg23667108,8.94E-14,0.32410015,Body
cg19841369,8.88E-14,0.607592227,Body
cg07424400,8.84E-14,-0.490331848,TSS200
cg22160735,8.80E-14,0.447970538,3'UTR
cg03582371,8.76E-14,0.192446713,Body
cg26177311,8.74E-14,0.434611496,Body
cg06188545,8.73E-14,0.482623567,5'UTR
cg01732495,8.69E-14,-0.129389024,Body
cg24406391,8.64E-14,0.28721841,Body
cg27542224,8.57E-14,0.254663602,Body
cg13356896,8.54E-14,0.664885696,TSS200
cg16199460,8.52E-14,-0.581228405,IGR
cg01817009,8.49E-14,0.374448094,3'UTR
cg23473955,8.49E-14,-0.368755715,1stExon
cg13358636,8.45E-14,0.509218095,TSS1500
cg06679334,8.41E-14,0.640001515,IGR
cg11591485,8.32E-14,0.357050755,Body
cg14489474,8.32E-14,0.480278194,Body
cg14476745,8.25E-14,0.421998869,Body
cg07276621,8.20E-14,0.429790498,IGR
cg12639192,8.18E-14,0.363113787,Body
cg02429905,8.07E-14,0.588929315,TSS1500
cg04112842,8.07E-14,0.254914506,3'UTR
cg12527684,7.96E-14,-0.089354067,5'UTR
cg14904363,7.94E-14,-0.296983131,5'UTR
cg19403534,7.83E-14,0.527027427,TSS1500
cg09296957,7.79E-14,-0.337105808,TSS200
cg03147185,7.79E-14,-0.27960141,Body
cg05346878,7.72E-14,-0.207573525,TSS1500
cg07128900,7.67E-14,0.455932332,Body
cg16320910,7.67E-14,0.205585897,3'UTR
cg12052661,7.64E-14,0.402464085,1stExon
cg10064029,7.60E-14,0.3009447,Body
cg18139641,7.55E-14,0.400563033,5'UTR
cg11740348,7.53E-14,0.657774169,Body
cg23193870,7.49E-14,-0.256487121,TSS200
cg06920946,7.49E-14,0.415822733,Body
cg23021638,7.42E-14,0.278926436,Body
cg04835652,7.38E-14,0.281881647,Body
cg21010191,7.34E-14,-0.103898748,IGR
cg26017408,7.27E-14,0.421218886,Body
cg17804348,7.20E-14,0.481962828,Body
cg04086189,7.16E-14,0.44942721,IGR
cg01884715,6.96E-14,0.443928573,Body
cg13579752,6.96E-14,-0.458518533,Body
cg17038235,6.92E-14,0.436472519,Body
cg15391651,6.91E-14,-0.439835381,IGR
cg04004561,6.89E-14,0.423228373,IGR
cg23690166,6.88E-14,0.651405867,TSS1500
cg25763393,6.88E-14,0.505206848,1stExon
cg22203219,6.87E-14,0.422057115,TSS200
cg08294772,6.86E-14,-0.447395635,IGR
cg22621686,6.84E-14,0.219714234,Body
cg04396112,6.80E-14,0.4788795,Body
cg27598583,6.80E-14,0.441450376,IGR
cg01501018,6.75E-14,0.395392769,Body
cg05504025,6.69E-14,-0.482520523,Body
cg01224715,6.69E-14,0.353744031,Body
cg20398880,6.62E-14,0.233116329,3'UTR
cg09984759,6.62E-14,-0.044912697,IGR
cg22455128,6.59E-14,0.234440722,IGR
cg13958495,6.55E-14,0.219631477,Body
cg06117072,6.48E-14,0.469378515,Body
cg01881265,6.45E-14,0.346120161,Body
cg10155304,6.44E-14,0.371602811,5'UTR
cg26232247,6.35E-14,-0.567900539,Body
cg13924715,6.30E-14,0.551456273,IGR
cg12629098,6.27E-14,0.315828361,IGR
cg02318784,6.21E-14,0.535687436,IGR
cg27183818,6.20E-14,-0.574319991,IGR
cg20319945,6.18E-14,0.294858624,Body
cg17898621,6.16E-14,0.267855248,3'UTR
cg13092901,6.08E-14,-0.36312908,Body
cg15734764,6.03E-14,-0.18328039,IGR
cg10298741,6.01E-14,0.382994615,5'UTR
cg16885861,6.01E-14,0.473657351,Body
cg24495585,5.99E-14,0.660574702,IGR
cg18131141,5.99E-14,0.574604052,Body
cg19503963,5.97E-14,0.459804777,Body
cg14546466,5.95E-14,-0.363344311,IGR
cg05679002,5.91E-14,0.357442452,TSS200
cg16579438,5.90E-14,-0.425334427,TSS1500
cg14885748,5.74E-14,0.62161989,IGR
cg18251449,5.67E-14,0.295844392,IGR
cg08305436,5.67E-14,0.574892105,IGR
cg04251208,5.62E-14,0.347046067,Body
cg23445003,5.59E-14,0.279212701,Body
cg08539965,5.58E-14,0.575396899,5'UTR
cg17391620,5.55E-14,0.409883474,Body
cg19015961,5.52E-14,0.406664191,TSS200
cg01007345,5.49E-14,-0.453610207,5'UTR
cg24367840,5.47E-14,0.164377182,Body
cg03403093,5.44E-14,0.313609544,5'UTR
cg02907064,5.43E-14,0.437663235,TSS200
cg16509851,5.42E-14,0.548268686,IGR
cg11910652,5.39E-14,0.294521293,5'UTR
cg25905215,5.39E-14,0.224511567,3'UTR
cg21931419,5.38E-14,0.532826742,TSS1500
cg16686158,5.35E-14,0.463513824,TSS1500
cg01792666,5.34E-14,-0.12502843,5'UTR
cg21562035,5.34E-14,0.260987093,Body
cg05146756,5.31E-14,-0.55645726,Body
cg27177554,5.30E-14,0.588794825,Body
cg00030420,5.29E-14,0.204498109,TSS200
cg13977486,5.27E-14,-0.322563823,5'UTR
cg05771342,5.25E-14,0.530489792,TSS1500
cg04046669,5.25E-14,0.603547266,TSS1500
cg01845356,5.22E-14,-0.403065964,TSS1500
cg06317989,5.19E-14,0.17762917,5'UTR
cg20163033,5.17E-14,0.370415376,1stExon
cg21158087,5.15E-14,0.522569746,IGR
cg10858898,4.96E-14,0.261272459,Body
cg20051772,4.94E-14,-0.310321299,TSS1500
cg21165395,4.90E-14,0.179600774,Body
cg19993316,4.82E-14,-0.050809517,Body
cg15979173,4.81E-14,0.548338358,1stExon
cg27585147,4.80E-14,0.198215686,Body
cg11439535,4.80E-14,0.390132447,Body
cg26186727,4.78E-14,0.53335402,1stExon
cg10557552,4.74E-14,0.478363389,Body
cg25790133,4.73E-14,0.513532265,TSS200
cg20034792,4.73E-14,0.671974473,IGR
cg02705758,4.68E-14,0.411377529,Body
cg23075337,4.63E-14,0.653416103,Body
cg09718987,4.62E-14,0.355044791,3'UTR
cg05898343,4.62E-14,0.174815665,IGR
cg08151623,4.56E-14,0.513973348,IGR
cg09510085,4.54E-14,0.505466809,Body
cg01586851,4.50E-14,-0.501037954,IGR
cg18172877,4.49E-14,0.542058651,Body
cg15985905,4.45E-14,-0.483244148,IGR
cg00547530,4.40E-14,-0.405245068,Body
cg05371578,4.40E-14,0.454030751,1stExon
cg00017271,4.38E-14,0.314263745,3'UTR
cg19376973,4.37E-14,0.451467355,IGR
cg25923609,4.37E-14,0.677833859,IGR
cg02483449,4.34E-14,-0.570336529,IGR
cg08107354,4.33E-14,0.340537059,IGR
ch.11.1980478F,4.31E-14,-0.066548183,Body
cg27350402,4.31E-14,0.506789558,IGR
cg00147095,4.29E-14,0.288489577,Body
cg09610578,4.25E-14,0.351149488,TSS200
cg24966958,4.24E-14,0.459169583,TSS1500
cg16258229,4.24E-14,0.347358952,Body
cg12737588,4.24E-14,0.330092009,IGR
cg14204559,4.23E-14,0.314237418,Body
cg14108978,4.21E-14,0.235633414,1stExon
cg11035100,4.19E-14,-0.350026123,TSS200
cg24627299,4.10E-14,-0.543898698,TSS1500
cg01032675,4.07E-14,-0.439482708,1stExon
cg02584377,4.05E-14,0.331725867,Body
cg22488256,4.03E-14,0.621117843,TSS200
cg00207921,4.02E-14,-0.51052719,IGR
cg22164891,4.02E-14,-0.346797157,TSS200
cg03974286,4.02E-14,-0.320263935,TSS1500
cg23447996,3.99E-14,-0.393139711,Body
cg05501996,3.99E-14,0.464615065,IGR
cg04425920,3.97E-14,0.661789391,IGR
cg13307880,3.96E-14,0.527255535,Body
cg24637308,3.89E-14,0.304117349,Body
cg14095959,3.87E-14,0.524961271,IGR
cg02149189,3.82E-14,0.578874175,IGR
cg15887927,3.77E-14,-0.483961541,IGR
cg04685302,3.74E-14,0.193785942,Body
cg18114463,3.73E-14,0.283095618,TSS1500
cg03958512,3.72E-14,0.359830957,Body
cg12892506,3.70E-14,0.661858949,Body
cg00974629,3.70E-14,0.425718792,TSS200
cg17279652,3.65E-14,0.057461777,Body
cg03713668,3.60E-14,0.36893426,Body
cg00204512,3.60E-14,-0.398919977,IGR
cg09234454,3.59E-14,0.425466715,Body
cg01937809,3.56E-14,-0.462594406,Body
cg14781394,3.56E-14,-0.178028376,IGR
cg21536783,3.51E-14,-0.501773428,3'UTR
cg18607961,3.48E-14,0.425226564,Body
cg24455808,3.48E-14,0.238590612,Body
cg07054895,3.47E-14,0.262650095,TSS200
cg06439941,3.36E-14,0.485572475,TSS1500
cg03731464,3.36E-14,-0.437362614,3'UTR
cg22782873,3.34E-14,0.47210676,TSS200
cg04768697,3.31E-14,0.494847901,1stExon
cg16326123,3.31E-14,0.276587891,Body
cg06757585,3.30E-14,0.52682697,Body
cg16166559,3.26E-14,-0.331420937,5'UTR
cg06002516,3.26E-14,0.306475263,Body
cg25165199,3.23E-14,0.462956822,TSS1500
cg15638709,3.23E-14,0.61977671,IGR
cg18719939,3.23E-14,-0.192885593,IGR
cg24496475,3.22E-14,0.494572398,IGR
cg24121069,3.17E-14,0.350512899,Body
cg04326540,3.13E-14,0.158943624,Body
cg10514113,3.12E-14,0.128167667,Body
cg06328750,3.12E-14,-0.582159745,IGR
cg03502002,3.09E-14,0.716794557,1stExon
cg25059588,3.06E-14,0.226016206,Body
cg14036402,3.06E-14,-0.491040167,Body
ch.1.1187063R,3.00E-14,-0.034766949,Body
cg08076830,2.95E-14,0.500659385,IGR
cg12915819,2.90E-14,0.311299911,Body
cg09990852,2.90E-14,0.467253831,1stExon
cg07405182,2.90E-14,0.636785175,IGR
cg14076195,2.87E-14,-0.172335982,TSS1500
ch.6.169008488F,2.85E-14,-0.23431,IGR
cg21052656,2.85E-14,-0.40036447,TSS1500
cg09494609,2.84E-14,-0.112753465,Body
cg27048684,2.81E-14,0.504209438,3'UTR
cg17530247,2.80E-14,-0.11538391,TSS1500
cg13974765,2.74E-14,0.301371845,5'UTR
cg17496788,2.70E-14,0.482176355,TSS1500
cg10436257,2.69E-14,0.48508611,3'UTR
cg10407113,2.69E-14,-0.316233798,TSS1500
cg10192196,2.67E-14,-0.163932094,5'UTR
cg05614952,2.65E-14,0.205565332,Body
cg06049297,2.65E-14,0.36248193,IGR
cg14699728,2.63E-14,0.696010512,5'UTR
cg12932613,2.62E-14,0.366656716,IGR
cg11811610,2.61E-14,0.398759671,IGR
cg22167515,2.61E-14,0.623837793,IGR
cg16606320,2.60E-14,0.576285327,TSS1500
cg06826975,2.60E-14,0.284178507,Body
cg06176608,2.56E-14,0.341001167,Body
cg06570224,2.56E-14,0.394996783,IGR
cg16523590,2.53E-14,0.512563842,Body
cg21571658,2.53E-14,-0.468503704,IGR
cg21890667,2.52E-14,0.417818953,TSS1500
cg13804461,2.52E-14,-0.307467387,IGR
cg16653138,2.51E-14,0.454080057,1stExon
cg24289912,2.51E-14,-0.518606003,TSS200
cg11034978,2.47E-14,-0.420179966,IGR
cg22699768,2.42E-14,0.34021563,IGR
cg12793238,2.42E-14,0.373832209,Body
cg14166284,2.40E-14,0.388045687,Body
cg17863139,2.40E-14,-0.354553243,Body
cg20108872,2.40E-14,0.250953345,Body
cg22396959,2.39E-14,-0.513342394,Body
cg17522445,2.37E-14,0.232646738,IGR
cg11940285,2.37E-14,0.560510529,5'UTR
cg10982851,2.37E-14,0.36267825,Body
cg14612966,2.35E-14,0.222577038,Body
cg02124892,2.35E-14,-0.041865198,5'UTR
cg13726843,2.33E-14,-0.096342792,Body
cg02973057,2.33E-14,0.489774786,Body
cg07425568,2.31E-14,0.345288829,Body
cg20444218,2.31E-14,0.384753862,Body
cg07401516,2.30E-14,0.556248455,IGR
cg02196619,2.28E-14,0.202456872,5'UTR
cg24769295,2.28E-14,0.363075106,Body
cg18782488,2.27E-14,0.510456839,Body
cg10126372,2.26E-14,0.373653693,TSS1500
cg09267427,2.25E-14,0.501122385,Body
cg03730428,2.25E-14,0.500616475,IGR
cg17064870,2.24E-14,0.304356607,IGR
cg22305258,2.24E-14,-0.058915247,TSS200
cg07152216,2.23E-14,0.646674697,IGR
cg20656868,2.23E-14,-0.284297759,TSS1500
cg19087971,2.19E-14,0.31966344,5'UTR
cg05034374,2.18E-14,0.459071343,Body
cg01593857,2.15E-14,0.329885046,IGR
cg22789982,2.14E-14,0.331796132,IGR
cg17467525,2.14E-14,-0.523996348,IGR
cg11681192,2.05E-14,0.288774612,Body
cg10712091,2.03E-14,-0.107963178,5'UTR
cg06365535,2.03E-14,0.457976797,Body
cg07974511,2.03E-14,0.672015626,Body
cg17002328,2.01E-14,0.375164046,Body
cg11232245,2.01E-14,0.581378732,IGR
cg14553338,2.00E-14,0.504103474,Body
cg25483003,2.00E-14,-0.228786048,TSS1500
cg13895393,1.99E-14,0.373676656,5'UTR
cg04832450,1.99E-14,0.566554534,Body
cg01709096,1.98E-14,0.378701165,5'UTR
cg12172441,1.96E-14,0.606093367,IGR
cg22069749,1.96E-14,-0.382144933,IGR
cg15177359,1.94E-14,-0.272744094,5'UTR
cg17263053,1.94E-14,-0.263849719,TSS1500
cg02505676,1.93E-14,-0.395659607,Body
cg13777783,1.93E-14,0.199846674,IGR
cg07122893,1.91E-14,0.419400496,1stExon
cg04583529,1.88E-14,0.10941786,3'UTR
cg04590303,1.88E-14,0.249800604,Body
cg03188495,1.87E-14,-0.257062909,1stExon
cg11560600,1.86E-14,0.541466323,IGR
cg11565007,1.83E-14,0.145491354,Body
cg06880923,1.82E-14,0.413823079,Body
cg13678973,1.79E-14,0.590343152,Body
cg13480738,1.78E-14,0.543368409,Body
