gene	r	p	direct
GDPD2	-0.262353426239622	5.36576357454235e-09	B
KLK9	-0.265939724571186	3.25567355122262e-09	B
PLA2G4F	-0.269712684041815	1.90921673726383e-09	B
KRT17	-0.272271240563634	1.32318215287269e-09	B
FOSL1	-0.2737674923629	1.06592070150041e-09	B
ABCA12	-0.281170043617592	3.58702855824228e-10	B
KHDC1L	-0.283319708142129	2.59852487907121e-10	B
SLC2A1	-0.289595522626424	9.97882591852524e-11	B
SPRR4	-0.2922762050031	6.58235216892537e-11	B
IL1A	-0.294242733805551	4.83740146917119e-11	B
SPRR1B	-0.297645745253282	2.8229120957194e-11	B
FAM83C	-0.308597963221733	4.75023315104395e-12	B
FGFBP1	-0.330856225927542	1.00409649349496e-13	B
IL36G	-0.365757535083087	1.22023699319109e-16	B
IL36RN	-0.373741639464955	2.33038499798012e-17	B
