cpd_name	master_cpd_id	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
NPC-26	609058	BRD-K36852164	40	probe		"induces cell death through a non-apoptotic, mitochondrial-dependent mechanism"	Columbia University		CCOC(=O)c1c(NC(=O)c2ccc(s2)[N+]([O-])=O)sc2c1CC(C)(C)NC2(C)C
BRD-K37390332	463198	BRD-K37390332	33	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)c3ccncc3)cc2CC1=O
SB-525334	639962	BRD-K37720887	66	probe	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	Selleck	S1476	Cc1cccc(n1)-c1[nH]c(nc1-c1ccc2nccnc2c1)C(C)(C)C
PF-3758309	687953	BRD-K37764012	66	probe	PAK4	inhibitor of serine/threonine p21-activating kinase 4	Broad Institute of MIT and Harvard		CN(C)C[C@@H](NC(=O)N1Cc2c(Nc3nc(C)nc4ccsc34)n[nH]c2C1(C)C)c1ccccc1
etoposide	48589	BRD-K37798499	28	FDA	TOP2A	inhibitor of topoisomerase II	Selleck	S1225	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
LY-2183240	375496	BRD-K37865504	33	probe	FAAH	inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake	Tocris Bioscience	2452	CN(C)C(=O)n1nnnc1Cc1ccc(cc1)-c1ccccc1
nakiterpiosin	417452	BRD-K38264551	33	probe		natural product; inhibitor of microtubule assembly	"University of Texas, Southwestern"		C[C@H]1C[C@@H](OC1=O)[C@@H](O)[C@@H](C(Cl)Cl)c1ccc2[C@@H]3C[C@@H](Br)[C@]45O[C@H](C[C@]4(C)[C@H]3C(=O)c2c1C)CO[C@H]5O
ML031	96171	BRD-K38985961	530	probe	S1PR2	inhibitor of sphingosine 1-phosphate receptor 2	Enamine Ltd.	Z19746470	Cc1cc(C(=O)CN2C(=O)CCC2=O)c(C)n1Cc1ccccc1
NSC19630	580922	BRD-K39706510	66	probe	WRN	inhibitor of Werner syndrome helicase activity	EMD Biosciences	681467	CCC(=O)OCN1C(=O)C=CC1=O
lenvatinib	628639	BRD-K39974922	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"	Selleck	S1164	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O
NSC 74859	411734	BRD-K40853697	530	probe	STAT3	inhibitor of STAT3	Selleck	S1155	Cc1ccc(cc1)S(=O)(=O)OCC(=O)Nc1ccc(C(O)=O)c(O)c1
BRD-K41334119	446546	BRD-K41334119	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CNC[C@@H]1Oc2ccc(NS(C)(=O)=O)cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO
BRD-K41597374	404452	BRD-K41597374	67	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(ccc2S1(=O)=O)C#CC1CCCC1
palmostatin B	679844	BRD-K42137908	66	probe	LYPLA1	inhibitor of acyl-protein thioesterase 1	EMD Biosciences	178501	CCCCCCCCCC[C@H]1[C@H](CCc2ccc(OC)c(OC)c2)OC1=O
BRD-K42260513	687715	BRD-K42260513	66	probe	EZH2	inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	Broad Institute of MIT and Harvard		CC(C)n1ncc2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O
sunitinib	374750	BRD-K42828737	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"	Selleck	S1042	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C
myricetin	29985	BRD-K43149758	66	probe		flavonoid antioxidant	Selleck	S2326	Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O
SNS-032	606254	BRD-K43389698	66	clinical	CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5	inhibitor of cyclin-dependent kinases	Selleck	S1145	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
MLN2480	687579	BRD-K43410529	66	clinical	ARAF;BRAF;RAF1	inhibitor of RAF kinases	Active Biochem	A-1192	C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(s1)C(=O)Nc1cc(c(Cl)cn1)C(F)(F)F
PF-4800567 hydrochloride	688962	BRD-K43428468	66	probe	CSNK1D;CSNK1E	inhibitor of casein kinase isoforms delta and epsilon	Tocris Bioscience	4281	Nc1ncnc2n(nc(COc3cccc(Cl)c3)c12)C1CCOCC1
WP1130	660432	BRD-K43644456	66	probe	UCHL5;USP14;USP5;USP9X	"inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37"	Selleck	S2243	CCC[C@H](NC(=O)C(=C\c1cccc(Br)n1)\C#N)c1ccccc1
BRD-K44224150	438564	BRD-K44224150	34	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CNC[C@@H]1Oc2ccc(NC(=O)C3CCCCC3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO
ML083	255961	BRD-K44241590	37	probe	PKM	activator of muscle pyruvate kinase	Enamine Ltd.	T6096896	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
pandacostat	417098	BRD-K44741158	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"	Harvard Medical School		ONC(=O)\C=C\c1ccc(cc1)C(=O)N\N=C\c1ccc(O)c(O)c1O
ELCPK	609056	BRD-K44847641	0.4	probe		screening hit	ChemDiv Inc.	G408-2080	O=S(=O)(N1CCCc2ccccc12)c1ccc(cc1)-c1cnc(o1)C1CC1
betulinic acid	23256	BRD-K45401373	66	probe		natural product; inhibitor of specificity protein 1 transcription factor in cells	Tocris Bioscience	3906	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O
BRD-K45681478	142931	BRD-K45681478	66	probe		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		ClC1=C(NCC=C)C(=O)c2ccccc2C1=O
NSC48300	594399	BRD-K45748132	66	probe	TASP1	inhibitor of threonine endopeptidase taspase 1	National Cancer Institute Chemotherapeutic Agents Repository		O[As](O)(=O)c1ccc(Cc2ccc(cc2)[As](O)(O)=O)cc1
IU1	272805	BRD-K45841694	66	probe	USP14	inhibitor of the deubiquitinase activity of USP14	Tocris Bioscience	4088	Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1
BMS-195614	660228	BRD-K45935533	66	probe	RARA;RARB;RARG	antagonist of retinoic acid receptors	Tocris Bioscience	3660	CC1(C)CC=C(c2cnc3ccccc3c2)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O
CIL55	1788	BRD-K46556387	10	probe		screening hit	Columbia University		CN(C)CCNC(=O)c1cc2CSc3cc(Cl)ccc3-c2s1
Ki8751	375560	BRD-K47150025	66	probe	KDR;KIT;PDGFRA	"inhibitor of VEGFR2, c-KIT, and PDGFRA"	Selleck	S1363	COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
GMX-1778	411843	BRD-K47335880	0.3	clinical	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	WuXi AppTec;Cayman	TH-2360-010-1;11021	Clc1ccc(OCCCCCC\N=C(\NC#N)Nc2ccncc2)cc1
Repligen 136	628408	BRD-K47503321	66	probe	HDAC3	inhibitor of HDAC3	Stanley Center for Psychiatric Research at the Broad Institute		Cc1ccc(cc1)C(=O)NCCCCCC(=O)Nc1ccc(F)cc1N
SR1001	660317	BRD-K47981327	66	probe	RORA;RORC	synthetic ROR ligand; suppressor of TH17 differentiation	Cayman	10922	CC(=O)Nc1nc(C)c(s1)S(=O)(=O)Nc1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F
BRD-K48334597	431987	BRD-K48334597	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)Oc2ccc(NC(=O)Cc3cn(C)c4ccccc34)cc2C1=O
BRD-K48477130	649754	BRD-K48477130	66	probe		screening hit	Stanley Center for Psychiatric Research at the Broad Institute		Cc1n[nH]c2NC3=C([C@@H](c12)c1ccccc1)C(=O)CC(C)(C)C3
nintedanib	628601	BRD-K49075727	66	clinical	FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB	"inhibitor of c-KIT, VEGFRs, PDGFRs, and FGFRs"	Selleck	S1010	COC(=O)c1ccc2c(NC(=O)\C2=C(/Nc2ccc(cc2)N(C)C(=O)CN2CCN(C)CC2)c2ccccc2)c1
GSK2636771	668723	BRD-K49215523	66	clinical	PIK3CB	inhibitor of PI3K catalytic subunit beta	Active Biochem	A-1230	Cc1nc2c(cc(cc2n1Cc1cccc(c1C)C(F)(F)F)N1CCOCC1)C(O)=O
BRD-K49290616	414479	BRD-K49290616	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		OC[C@@H]1O[C@@H](CC(=O)NCc2ccncn2)CC[C@H]1NC(=O)c1ccc(F)cc1
dasatinib	52882	BRD-K49328571	66	FDA	EPHA2;KIT;LCK;SRC;YES1	"inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK"	Selleck	S1021	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1
PRIMA-1-Met	594663	BRD-K49456190	33	probe	TP53	re-activator of the pro-apoptotic activity of mutant p53	Tocris Bioscience	3710	COC[C@]1(CO)[N@@]2CC[C@@H](CC2)C1=O
abiraterone	660363	BRD-K50071428	17	FDA	CYP17A1	"inhibitor of 17 alpha-hydroxylase and C17,20 lyase"	Selleck	S1123	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1
sildenafil	27872	BRD-K50128260	530	FDA	PDE5A	inhibitor of phosphodiesterase 5A	Toronto Research Chemicals	S435000	CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
NVP-TAE684	606249	BRD-K50140147	66	probe	ALK	inhibitor of ALK and ALK-NPM fusion protein	Selleck	S1108	COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1CCN(C)CC1
necrostatin-7	660201	BRD-K50145167	66	probe		inhibitor of necroptosis	Cayman	10528	Fc1ccc(cc1)-c1n[nH]cc1C=C1SC(=N)N(C1=O)c1nccs1
canertinib	606138	BRD-K50168500	66	clinical	EGFR;ERBB2	inhibitor of EGFR and HER2	Selleck	S1019	Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl
HBX-41108	679843	BRD-K50501969	66	probe	USP7	inhibitor of the deubiquitinase activity of USP7	Tocris Bioscience	4285	Clc1ccc-2c(c1)C(=O)c1nc(C#N)c(nc-21)C#N
BRD-K50799972	596868	BRD-K50799972	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		COc1ccccc1-c1cccc(c1)-c1nc(cc2CN([C@@H](CCO)c12)[S@@](=O)C(C)(C)C)C(=O)NCc1ccncc1
BRD-K51490254	616355	BRD-K51490254	66	probe	HDAC6;HDAC8	inhibitor of HDAC6 and HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		ONC(=O)c1cccc(c1)C(=O)Nc1ccccc1
cabozantinib	660840	BRD-K51544265	66	FDA	FLT3;KDR;MET;RET	"inhibitor of c-MET, VEGFR2/3, and RET"	Selleck	S1119	COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3)c2cc1OC
TPCA-1	375564	BRD-K51575138	66	probe	IKBKB	inhibitor of IKK-2	Tocris Bioscience	2559	NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1
CAY10576	622913	BRD-K51781482	66	probe	IKBKE	inhibitor of IKK-epsilon	Calbiochem	401488	COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC
BRD-K51831558	687661	BRD-K51831558	66	probe	EZH2	inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	Broad Institute of MIT and Harvard		CC(C)n1ncc2c(cc(Br)cc12)C(=O)NCc1c(C)cc(C)[nH]c1=O
BRD-K52037352	450415	BRD-K52037352	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)NC3CCCCC3)cc2CC1=O
cerulenin	52430	BRD-K52075040	150	probe	FASN;HMGCS1	inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase	Cayman	10005647	C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O
tacedinaline	54200	BRD-K52313696	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
methylstat	667933	BRD-K52560704	66	probe	KDM3A;KDM4A;KDM4B;KDM4C;KDM4D	inhibitor of lysine specific demethylases	Colorado State University		COC(=O)\C=C\C(=O)N(O)CCCCNCc1ccc(COC(=O)Nc2cccc3ccccc23)cc1
AZD7545	411814	BRD-K52836380	74	probe	PDK2	inhibitor of pyruvate dehydrogenase kinase 2	WuXi AppTec;WuXi AppTec	TH02357-029-A;TH02357-029-B	CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1
GDC-0941	639759	BRD-K52911425	66	clinical	PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K kinase activity	Selleck	S1065	CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1
JW-55	682993	BRD-K53328210	66	probe	TNKS	inhibitor of tankyrase	ChemBridge Corporation	7667791	COc1ccc(cc1)C1(CNC(=O)c2ccc(NC(=O)c3ccco3)cc2)CCOCC1
tivozanib	418170	BRD-K53414658	33	clinical	FLT1;FLT3;KDR	inhibitor of VEGFRs	Selleck	S1207	COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
BEC	60679	BRD-K53792571	270	probe	ARG1;ARG2	inhibitor of arginase I and II	EMD Biosciences	197900	N[C@H](CSCCB(O)O)C(O)=O
SRT-1720	411820	BRD-K53855319	37	probe	SIRT1	activator of sirtuin-1	WuXi AppTec	TH02370-053	O=C(Nc1cc(CN2CCNCC2)cc(c1)-c1nc2ccccc2[nH]1)c1cnc2ccccc2n1
neuronal differentiation inducer III	411733	BRD-K53903639	270	probe		induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity	EMD Biosciences	BRD3639	O=C(NC1CC1)c1cc(on1)-c1cccs1
ruxolitinib	639450	BRD-K53972329	66	FDA	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	Selleck	S1378	N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12
MK-1775	418167	BRD-K54256913	33	clinical	WEE1	inhibitor of WEE1	Axon Medchem	1494	CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1
JQ-1	616354	BRD-K54606188	66	probe	BRDT	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	Dana Farber Cancer Institute		Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
WAY-362450	660821	BRD-K54640016	66	probe	NR1H4	agonist of farnesoid X receptor	Axon Medchem	1749	CC(C)OC(=O)C1=CN(CC(C)(C)c2c1[nH]c1ccccc21)C(=O)c1ccc(F)c(F)c1
BYL-719	668495	BRD-K54997624	66	clinical	PIK3CA	inhibitor of PI3K catalytic subunit alpha	Active Biochem	A-1214	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(c1)C(C)(C)C(F)(F)F
BRD-K55116708	444779	BRD-K55116708	66	probe		product of diversity oriented synthesis; inhibitor of leukemic stem cells	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc2ccccc2N)Oc2c(NC(=O)Nc3ccccc3)cccc2C1=O
SZ4TA2	688138	BRD-K55125219	66	probe	BCL2L1	inhibitor of BCL-xL	Broad Institute of MIT and Harvard		CC1(C)CCN(CC1)c1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(NCCSc2ccccc2)c(c1)[N+]([O-])=O
rigosertib	660397	BRD-K55187425	66	clinical	PIK3CA;PIK3CB;PLK1	inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta	Selleck	S1362	COc1cc(OC)c(\C=C\S(=O)(=O)Cc2ccc(OC)c(NCC(O)=O)c2)c(OC)c1
isonicotinohydroxamic acid	478694	BRD-K55478147	33	probe	HDAC6	inhibitor of HDAC6	Stanley Center for Psychiatric Research at the Broad Institute		ONC(=O)c1ccncc1
epigallocatechin-3-monogallate	28801	BRD-K55591206	300	probe		natural product	Selleck	S2250	Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1
topotecan	44580	BRD-K55696337	66	FDA	TOP1	inhibitor of topoisomerase I	Selleck	S1231	CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)c(CN(C)C)c4cc3Cn1c2=O
MGCD-265	628622	BRD-K56277358	66	clinical	FLT1;FLT3;KDR;MET	inhibitor of c-MET and VEGFRs	Selleck	S1361	Cn1cnc(c1)-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1
ABT-737	411738	BRD-K56301217	37	clinical	BCL2;BCL2L1;BCL2L2	"inhibitor of BCL2, BCL-xL, and BCL-W"	Toronto Research Chemicals	A112550	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1
vemurafenib	649420	BRD-K56343971	33	FDA	BRAF	inhibitor of BRAF	Selleck;Sequoia Research Products	S1267;S1267	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
selumetinib	348991	BRD-K57080016	270	clinical	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	Selleck	S1008	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
marinopyrrole A	666910	BRD-K57261999	66	probe	MCL1	natural product; putative inhibitor of MCL1	Harvard University		Oc1ccccc1C(=O)c1[nH]c(Cl)c(Cl)c1-n1c(cc(Cl)c1Cl)C(=O)c1ccccc1O
AT13387	688229	BRD-K58435339	66	clinical	HSP90AA1	inhibitor of HSP90	Selleck	S1163	CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O
daporinad	418166	BRD-K58550667	2	clinical	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	Axon Medchem;Cayman	1279;13287	O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1
AZD6482	639390	BRD-K58772419	66	clinical	PIK3CB;PIK3CD	inhibitor of PI3K catalytic subunits beta and delta	Selleck	S1462	C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1
AZ-3146	660087	BRD-K59146805	66	probe	TTK	inhibitor of TTK protein kinase	Selleck	S2731	COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2n(C)c(=O)n(C3CCCC3)c2n1
DBeQ	199337	BRD-K59204667	66	probe	VCP	inhibitor of p97 in cells	Tocris Bioscience	4417	C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1
tozasertib	340501	BRD-K59369769	66	clinical	AURKA;AURKB;AURKC	inhibitor of aurora kinases	Selleck	S1048	CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1
bardoxolone methyl	660318	BRD-K59437938	66	clinical		electrophilic inducer of the NFE2L2-KEAP1 pathway	Axon Medchem	1772	COC(=O)[C@@]12CCC(C)(C)C[C@@H]1[C@@H]1C(=O)C=C3[C@]4(C)C=C(C#N)C(=O)C(C)(C)[C@H]4CC[C@]3(C)[C@@]1(C)CC2
methotrexate	30371	BRD-K59456551	66	FDA	DHFR	inhibitor of dihydrofolate reductase	Selleck	S1210	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
mitomycin	50732	BRD-K59670716	50	FDA		DNA crosslinker	Sigma-Aldrich	M0440	CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O
ML029	350548	BRD-K59962020	33	probe		inhibitor of antigen receptor-mediated NFkappaB activity	WuXi AppTec	TH02453-034	Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C
serdemetan	418164	BRD-K60219430	33	clinical	MDM2	inhibitor of MDM2	Axon Medchem	1538	C(Cc1c[nH]c2ccccc12)Nc1cccc(Nc2ccncc2)c1
MG-132	58948	BRD-K60230970	20	probe	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of the proteosome	Selleck;Broad Institute of MIT and Harvard	S2619	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
PYR-41	660202	BRD-K60750172	66	probe	UBA1	inhibitor of ubiquitin-activating enzyme in cells	Tocris Bioscience;Tocris Bioscience	4088;2978	CCOC(=O)c1ccc(cc1)N1NC(=O)C(=Cc2ccc(o2)[N+]([O-])=O)C1=O
CAL-101	660430	BRD-K60866521	66	clinical	PIK3CD	inhibitor of PI3K catalytic subunit delta	Selleck	S2226	CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
Mdivi-1	215497	BRD-K61128465	66	probe	DNM1	inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor	Tocris Bioscience	3982	COc1cc(c(Cl)cc1Cl)-n1c(=S)[nH]c2ccccc2c1=O
BRD-K61166597	348633	BRD-K61166597	66	probe		inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		Nc1ccc(cc1NC(=O)c1ccc(cc1)C(=O)NCCc1ccncc1)-c1cccs1
SB-225002	52123	BRD-K61323504	37	probe	CXCR2	inhibitor of chemokine receptor 2	ChemDiv Inc.	K815-2000	Oc1cc(ccc1NC(=O)Nc1ccccc1Br)[N+]([O-])=O
CAY10594	411824	BRD-K61662457	66	probe	PLD2	inhibitor of phospholipase D2	Cayman	13207	O=C(NCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc2ccccc2c1
Compound 7d-cis	411805	BRD-K61829047	33	probe	XPO1	inhibitor of CRM1-mediated nucleocytoplasmic transport	WuXi AppTec	TH02330-015-1	CCOC(=O)\C=C/n1nnc(n1)-c1cccc(Cl)c1
SB-743921	660238	BRD-K62358710	33	clinical	KIF11	inhibitor of kinesin 11	Selleck	S2182	CC(C)[C@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1
ABT-199	666541	BRD-K62391742	66	clinical	BCL2	inhibitor of BCL2	Active Biochem	A-1231	CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1
neopeltolide	411774	BRD-K62479592	33	probe		inhibitor of cellular respiration	Boston University		CCC[C@H]1C[C@H](C[C@H](C)C[C@@H]2C[C@H](C[C@H](CC(=O)O1)O2)OC(=O)\C=C/CCc1coc(\C=C/CNC(=O)OC)n1)OC
BRD1835	404070	BRD-K62801835	130	probe	EZH2	product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2cc(ccc2S1(=O)=O)C#CCC1CCCC1
BRD-K70511574	648987	BRD-K62825658	66	probe	PLK1	inhibitor of polo-like kinase 1 (PLK1)	Selleck	S1485	COc1ccc(cc1)S(=O)(=O)N(C(=O)C)c2ccccc2C=Cc3cc[n+]([O-])cc3
tipifarnib-P2	417416	BRD-K62965247	33	probe	FNTA	inhibitor of farnesyltransferase	WuXi AppTec	TH02436-025 - P2	Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1
ZSTK474	606144	BRD-K63068307	66	clinical	PIK3CB;PIK3CD;PIK3CG	"inhibitor of PI3K catalytic subunits beta, delta, and gamma"	Selleck	S1072	FC(F)c1nc2ccccc2n1-c1nc(nc(n1)N1CCOCC1)N1CCOCC1
tipifarnib-P1	417417	BRD-K63195589	33	clinical	FNTA	inhibitor of farnesyltransferase	WuXi AppTec;Selleck	TH02436-025 - P1;S1453	Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1
BRD-K63431240	404566	BRD-K63431240	66	probe		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
barasertib	601923	BRD-K63923597	66	clinical	AURKB	inhibitor of aurora kinase B	Selleck	S1147	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1
gefitinib	52926	BRD-K64052750	66	FDA	AKT1;EGFR	inhibitor of EGFR and AKT1	Selleck	S1025	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
necrosulfonamide	677522	BRD-K64117221	66	probe		inhibitor of downstream signaling of RIP3 associated with MLKL	Toronto Research Chemicals	N388600	COc1nccnc1NS(=O)(=O)c1ccc(NC(=O)\C=C\c2ccc(s2)[N+]([O-])=O)cc1
